,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",79,75.70,407,397.81,2179,2148.85,2334,2274.40,326,313.30,0,0,5325,5210.06,12,12,0,0,62,55.6,16,10.26,90,77.86,"5,415","5,287.92","£20,280,465.97","£966,139.88","£728,490.00","£103,694.87","£5,703,459.28","£2,480,884.74","£30,263,134.74","£3,346,752.00","£8,468,147.00","£11,814,899.00","£42,078,033.74",Does not include Salary Cost adjustments for periods 1&2 for end of finacial year adjustment due to the final journal closing dates still open for any potentail adjustments..,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,45.29,388,367.59,637,593.80,60,55.11,6,6.00,0,0,1144,1067.79,6,6,5,5,17,17,0,0,28,28.00,"1,172","1,095.79","£3,095,927.63","£21,645.91","£12,440.00","£5,751.07","£825,079.09","£327,928.24","£4,288,771.94",£0.00,£0.00,£0.00,"£4,288,771.94",Backdated Payaward paid in March 21,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1425,1397.60,161,155.45,29,27.80,0,0.00,0,0.00,0,0,1615,1580.85,0,0,0,0,0,0,0,0,0,0.00,"1,615","1,580.85","£5,050,691.20","£118,333.14","£23,815.63","£425,212.30","£947,191.29","£680,415.68","£7,245,659.24",,,£0.00,"£7,245,659.24",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,25,24.10,171,167.00,61,61.00,2,2.00,0,0,273,266.90,11,11,0,0,0,0,0,0,11,11.00,284,277.90,"£886,088.78","£18,966.79","£1,432.21",£563.60,"£235,266.00","£96,830.16","£1,239,147.54","£94,762.93",£0.00,"£94,762.93","£1,333,910.47",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,12,10.84,19,17.28,5,4.90,0,0,38,35.02,0,0,0,0,0,0,0,0,0,0.00,38,35.02,"£264,428.00",£0.00,£0.00,£0.00,"£45,864.00","£20,082.00","£330,374.00",£0.00,£0.00,£0.00,"£330,374.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",435,378.10,287,270.15,298,286.38,71,70.03,7,7.00,0,0,1098,1011.66,6,6,0,0,0,0,32,32,38,38.00,"1,136","1,049.66","£2,494,221.39","£35,258.08",£0.00,"£50,320.50","£678,455.62","£247,479.94","£3,505,735.53","£27,706.44","£391,046.65","£418,753.09","£3,924,488.62",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£93,481.85",£216.66,"£17,614.00",£0.00,"£26,115.20","£13,643.83","£151,071.54",£0.00,"£5,150.00","£5,150.00","£156,221.54",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1868,1769.15,2164,1891.43,2028,1825.55,298,281.97,26,26.00,0,0,6384,5794.09,0,0,0,0,0,0,0,0,0,0.00,"6,384","5,794.09","£14,923,229.81","£212,488.27","£4,183.31","£2,023,888.86","£4,021,899.57","£13,122,399.34","£34,308,089.16","£378,742.89","£474,371.22","£853,114.11","£35,161,203.27",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",639,602.79,217,205.61,798,765.30,148,145.02,8,8.00,0,0,1810,1726.72,61,61,0,0,8,8,0,0,69,69.00,"1,879","1,795.72","£4,708,780.73","£19,147.24","£8,000.00","£20,771.10","£1,274,162.08","£486,792.48","£6,517,653.63","£756,342.09",£0.00,"£756,342.09","£7,273,995.72",,,
