Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,438,425.2,619,605.6,1761,1746.7,1293,1272.9,420,416.6,,,4531,4467,36,36,,,27,26.4,6,5.8,69,68.2,4600,4535.2,16183419,904268,32900,194589,2877580,1502226,21694982,322740.69,101857.35,424598.04,22119580.04,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,32,27.19,23,21.61,17,15.04,9,8.8,1,1,7,7,89,80.64,,,,,,,,,0,0,89,80.64,185488,8033,69,5546,38497,18683,256316,202,,202,256518,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,33,31.87,203,198.49,814,795.05,324,321.46,84,83.61,,,1458,1430.48,168,159.81,65,62.88,,,,,233,222.69,1691,1653.17,4685511.08,956620.99,660.21,21917.39,1026054.58,431344.34,7122108.59,300012.43,,300012.43,7422121.02,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,6.5,6,2,2,1,1,,,9.5,9,,,,,,,,,0,0,9.5,9,32985.36,273.31,,,3178.34,3560.44,39997.45,,,0,39997.45,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,13,13,16,16,11,11,2,2,,,42,42,,,,,,,,,0,0,42,42,146925.28,,,,23872.57,16442.18,187240.03,,,0,187240.03,
FCO Services,Executive Agency,Foreign and Commonwealth Office,105,103.15,184,180.15,397,388.46,168,148.83,4,4,39,39,897,863.59,41,41,14,14,147,142.9,4,4,206,201.9,1103,1065.49,2346730.73,463425.44,19710,208708.89,494651.51,271125.04,3804351.61,1570763.69,0,1570763.69,5375115.3,
