Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Innovation & Skills (BIS)*",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",89,84.24,272,264,650,636.2,840,808.6,151,145.3,9,9,2011,1947.34,36,36,,,21,21,10,10,67,67,2078,2014.34,"£7,968,080.00","£354,240.64","£32,650.00","£34,544.45","£1,762,900.15","£937,955.31","£11,090,370.55","-£2,185,511.00","£64,524.00","-£2,120,987.00","£8,969,383.55",
Department of Energy & Climate Change (DECC)*,Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",42,41.1,108,104.1,480,470.5,612,592.1,83,78.9,,,1325,1286.7,40,40,,,21,21,,,61,61,1386,1347.7,"£5,157,087.65","£128,979.12","£35,451.34","£9,166.42","£1,112,455.25","£600,877.50","£7,044,017.28","£48,068.04","£192,785.23","£240,853.27","£7,284,870.55",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,50.6,225,203.9,488,448.4,38,34.8,3,3,1,0.6,812,741.3,9,9,0,0,0,0,4,4,13,13,825,754,"£2,110,688.77","£20,327.52",£0.00,"£12,331.94","£410,653.04","£205,534.15","£2,759,535.42","£8,913.07","£2,750.00","£11,663.07","£2,771,198.49",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,3.88,29,27.71,66,61.85,10,9.8,2,2,0,0,111,105.24,0,0,0,0,3,3,0,0,3,3,114,108,"£290,611.21","£7,237.21",£780.86,£86.72,"£76,179.05","£30,406.86","£405,301.91","£27,870.84",£0.00,"£27,870.84","£433,172.75",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,27.62,43,39.59,135,129.14,40,38.89,12,11.51,0,0,262,246.75,1,1,0,0,0,0,0,0,1,1,263,248,"£733,440.09","£23,341.10",£0.00,"£2,345.69","£190,202.02","£78,224.06","£1,027,552.96","£3,759.00",£0.00,"£3,759.00","£1,031,311.96",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,126","1,109.54",296,288.53,127,126.3,18,17.81,4,4,0,0,"1,571","1,546.18",0,0,0,0,0,0,0,0,0,0,"1,571","1,546","£4,409,279.88","£158,039.00",£0.00,"£947,502.59","£702,611.03","£629,879.43","£6,847,311.93",£0.00,£0.00,£0.00,"£6,847,311.93",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",16,15.9,23,21.9,122,121.1,46,46,3,3,0,0,210,207.9,4,4,0,0,14,13.1,0,0,18,17,228,225,"£653,477.74","£15,562.97",£0.00,"£2,784.07","£136,639.33","£71,710.10","£880,174.21","£142,091.43",£0.00,"£142,091.43","£1,022,265.64",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,5,5,15,14.83,5,4.88,0,0,26,25.71,0,0,0,0,0,0,0,0,0,0,26,26,"£127,631.77",£216.00,£0.00,£0.00,"£27,436.33","£14,875.88","£170,159.98",£0.00,£0.00,£0.00,"£170,159.98",
