Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,238,224.98,513,498.76,863,845.11,1425,1401.87,332,325.61,1841,1835.36,"5,212","5,132",3,2.2,142,133.1,183,182,1,1,329,318.3,"5,541","5,450","£18,137,577.43","£580,009.82","£48,585.24","£73,894.20","£3,825,839.03","£2,095,746.91","£24,761,652.63","£1,481,864.00","£1,126,854.00","£2,608,718.00","£27,370,370.63"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,7,6.60,5,5.00,0,0.00,1,1.00,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£58,063.72",£166.67,£0.00,£101.98,"£12,739.06","£6,454.58","£77,526.01",£0.00,£0.00,£0.00,"£77,526.01"
Crown Commercial Services,Executive Agency,Cabinet Office,23,21.09,96,90.69,303,291.87,190,180.78,21,19.00,0,0.00,633,603,35,35,0,0,0,0,0,0,35,35,668,638,"£2,066,215.48","£30,957.06",£0.00,£0.00,"£421,718.28","£229,636.62","£2,748,527.44","£366,267.25","£246,240.27","£612,507.52","£3,361,034.96"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,71,66.00,378,345.00,262,246.00,67,66.00,18,18.00,0,0.00,796,741,22,22,0,0,4,1.5,0,0,26,23.5,822,765,"£1,980,114.27","£22,831.89",£0.00,"£12,223.32","£403,117.49","£240,556.54","£2,658,843.51","£57,990.70",£0.00,"£57,990.70","£2,716,834.21"
