Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",122,115.61,307,296.78,931,907.11,980,939.81,191,182.32,2,2,"2,533","2,444",33,33,3,3,43,43,18,18,97,97,"2,630","2,541","£8,883,943.90","£364,993.26","£17,100.00","£54,949.66","£2,017,193.05","£838,201.60","£12,176,381.47","£350,968.00","£485,752.00","£836,720.00","£13,013,101.47",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",39,37.67,84,83.07,252,249.11,173,170.85,24,23.13,3,3,575,567,21,21,1,1,84,84,16,16,122,122,697,689,"£1,685,844.39","£31,217.06",£75.00,"£1,315.74","£357,546.56","£150,225.81","£2,226,224.56","£459,710.00",£0.00,"£459,710.00","£2,685,934.56",,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",58,51.6,261,238.4,491,450.8,38,35.7,3,3,2,1.2,853,781,14,14,0,0,,,4,4,18,18,871,799,"£2,102,740.03","£18,082.34",,"£19,444.66","£423,096.38","£158,885.45","£2,722,248.86","£52,194.71","£36,070.00","£88,264.71","£2,810,513.57",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",5,4.88,31,28.99,54,51.12,11,10.87,4,3.5,,,105,99,,,,,7,6.5,,,7,6.5,112,106,"£277,291.02","£3,838.58",,,"£67,727.39","£19,186.49","£368,043.48","£25,514.82",,"£25,514.82","£393,558.30",,
Biotechnology and Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",186,166.9,295,276.14,666,627.45,185,170.58,42,39.88,,,"1,374","1,281",2,2,,,,,,,2,2,"1,376","1,283","£3,958,831.01","£67,383.52","£12,753.00","£36,313.73","£998,025.71","£321,508.18","£5,394,815.15","£5,154.75",,"£5,154.75","£5,399,969.90",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",453,395,257,244,133,130,29,28,4,4,,,876,801,,,,,,,21,21,21,21,897,822,"£1,725,624.72","£27,937.03","£1,152,415.47","£36,327.90","£361,798.59","£253,072.26","£3,557,175.97",,"£165,880.90","£165,880.90","£3,723,056.87",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",435,404.79,651,635.96,337,330.99,22,22,5,5,0,0,"1,450","1,399",53,43.6,2,1,53,44.18,6,1.02,114,89.8,"1,564","1,489","£3,566,859.37","£186,913.07",£0.00,"£46,338.10","£466,662.11","£298,779.63","£4,565,552.28","£469,604.55","£6,084.70","£475,689.25","£5,041,241.53",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,1,1,6,5.6,3,3,1,1,,,14,14,,,,,1,1,,,1,1,15,15,"£50,735.62",,"£1,650.00",,"£10,945.37","£4,713.91","£68,044.90","£4,131.00",,"£4,131.00","£72,175.90",Provide IT support to the team for the IT Infrastructure Upgrade,
