Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,991,921.00,925,887.84,1644,1597.04,793,770.97,120,117.52,0,0.00,"4,473","4,294.37",189,186.84,17,17.00,210,209.50,0,0.00,416,413.34,"4,889","4,707.71","£13,089,303.16","£255,526.40","£41,520.83","£76,602.29","£2,494,150.48","£1,070,008.70","£17,027,111.86","£3,056,948.12","£1,857,969.67","£4,914,917.79","£21,942,029.65",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13514,11813.61,2973,2775.01,2479,2299.58,609,593.97,33,33.00,0,0.00,"19,608","17,515.17",(..),628.40,0,0.00,0,0.00,0,0.00,0,628.40,"19,608","18,143.57","£33,395,594.98","£409,757.47","£46,443.50","£518,663.15","£5,720,799.69","£2,172,752.72","£42,264,011.51","£1,853,490.84",(..),"£1,853,490.84","£44,117,502.35",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,191,170.16,128,122.78,264,255.67,59,58.33,6,6.00,0,0.00,648,612.94,5,3.00,0,0.00,14,14.00,0,0.00,19,17.00,667,629.94,"£1,515,979.77","£8,780.47",(..),"£16,383.59","£274,805.94","£128,043.71","£1,943,993.48","£78,643.88",(..),"£78,643.88","£2,022,637.36",
National Offender Management Service,Executive Agency,Ministry of Justice,33579,32016.60,6084,5821.30,3613,3385.10,609,594.80,38,37.90,0,0.00,"43,923","41,855.70",(..),378.41,1,0.54,(..),12.54,4,4.00,5,395.49,"43,928","42,251","£94,170,526.37",£0.00,£0.00,"£5,357,771.61","£18,210,449.53","£7,604,613.24","£125,343,360.75","£6,650,651.87","£8,899.45","£6,659,551.32","£132,002,912.07",Only Agency & Specialist Contractor FTE available. HC not collected.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,261,247.28,140,132.71,64,62.06,9,8.82,2,1.78,0,0.00,476,452.65,220,155.5,0,0.00,0,0.00,0,0.00,220,155.5,696,608.15,"£670,355.92","£14,790.78",£100.00,"£11,698.22","£99,206.82","£42,652.54","£838,804.28","£425,765.99",(..),"£425,765.99","£1,264,570.27",Significant turnover in month as other Civil Service campaigns attracted our FTCs.  Campaign commenced to fill 120 payroll positions.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,76,69.54,76,69.54,5,5.00,3,3.00,0,0.00,0,0.00,8,8.00,84,77.54,"£199,181.00",£57.00,(..),"£4,149.00","£35,344.00","£16,950.00","£255,681.00","£29,071.00",(..),"£29,071.00","£284,752.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,384,359.29,384,359.29,12,11.40,0,0.00,0,0.00,0,0.00,12,11.40,396,370.69,"£806,077.24","£1,335.49",£0.00,"£4,120.58","£145,102.92","£57,608.29","£1,014,244.52","£36,227.63",£0.00,"£36,227.63","£1,050,472.15",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11.00,17,15.94,24,23.69,12,11.20,3,3.00,1,0.40,68,65.23,8,8.00,0,0.00,0,0.00,0,0.00,8,8.00,76,73.23,"£180,082.68","£3,437.58",£600.00,(..),"£34,362.78","£13,949.21","£232,432.25","£17,505.14",(..),"£17,505.14","£249,937.39",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,29,28.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,"£137,774.85",(..),(..),(..),"£30,872.10","£16,515.64","£185,162.59",(..),(..),£0.00,"£185,162.59","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,799,753.53,272,262.13,398,381.6,119,117.27,19,13.20,0,0.00,"1,607","1,527.73",28,26.60,0,0.00,76,75.48,0,0.00,104,102.08,"1,711","1,629.81","£3,543,315.72",(..),(..),"£116,329.99",,"£308,676.61","£3,968,322.32","£1,101,809.01",(..),"£1,101,809.01","£5,070,131.33",
