Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,461,450,642,631,2042,2025,1535,1511,442,436,,,5122,5053,57,56.8,,,37,36.4,7,6.8,101,100,5223,5153,13832162.5,1001452.61,5071.5,71738.06,4273537.15,1515550.07,20699511.89,630613.62,164570.8,795184.42,21494696.31,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,37,32.89,20,18.07,17,15.68,10,9.81,1,1,,,85,77.45,,,,,,,,,0,0,85,77.45,189661.93,8945.8,,2795.78,53922.4,19302.29,274628.2,,,0,274628.2,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,14,13.67,178,172.96,786,765.14,328,325.38,99,98.48,,,1405,1375.63,65,64.2,74,72.91,,,,,139,137.11,1544,1512.74,4573408.98,836213.57,,33993.72,1289801.35,418000.16,7151417.78,459387.52,,459387.52,7610805.3,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,1,1,6,5,2,1.125,1,1,,,10,8.125,,,,,,,,,0,0,10,8.125,28235.53,,,,1644.88,2792.17,32672.58,,,0,32672.58,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,9,9,19,19,18,18,2,2,,,48,48,1,1,,,,,,,1,1,49,49,186817.22,,,,39323.57,19838.8,245979.59,3265.97,,3265.97,249245.56,
FCO Services,Executive Agency,Foreign and Commonwealth Office,119,117.77,205,200.08,411,403.94,197,178.93,9,9,48,48,989,957.72,33,33,5,5,153,149.7,5,5,196,192.7,1185,1150.42,2813971.74,588256.62,10900,395934.09,766614.83,342791.63,4918468.91,1795934.7,,1795934.7,6714403.61,
