Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Innovation & Skills (BIS)*",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",89,81.11,271,262.04,760,741.89,885,849.60,165,157.95,0,0.00,"2,170","2,092.59",30,30.00,0,0.00,107,107.00,17,17.00,154,154,"2,324","2,247","£7,853,974.88","£350,721.08","£24,279.45","£36,195.89","£1,758,462.22","£917,910.02","£10,941,543.54","£1,421,430.00","£639,068.00","£2,060,498.00","£13,002,041.54",This includes data for those migrating to DfE
Department of Energy & Climate Change (DECC)*,Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",45,44.3,101,98.9,528,519.9,642,619.4,83,79.4,15,15,1414,1376.9,30,30,,,23,23,,,53,53,1467,1429.9,"£5,374,828.47","£127,268.56","£152,999.40","£26,238.19","£1,149,884.66","£621,209.10","£7,452,428.38","£454,790.68","£987,128.75","£1,441,919.43","£8,894,347.81",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,47.00,228,206.90,496,455.60,38,35.10,4,4.00,1,0.60,820,749.20,9,9.00,0,0.00,0,0.00,4,4.00,13,13,833,762,"£2,033,003.73","£19,661.69",£0.00,"£20,412.28","£416,519.95","£208,815.90","£2,698,413.55","£14,948.76","£34,500.00","£49,448.76","£2,747,862.31",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,4.88,31,29.33,64,60.23,9,8.80,2,2.00,0,0.00,111,105.24,1,1.00,0,0.00,3,3.00,0,0.00,4,4,115,109,"£291,515.99","£3,971.73","£1,000.00",£601.35,"£75,533.75","£29,830.42","£402,453.24","£29,890.80",£0.00,"£29,890.80","£432,344.04",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,26.47,47,43.20,142,136.10,38,36.89,12,11.51,0,0.00,271,254.17,1,1.00,0,0.00,0,0.00,0,0.00,1,1,272,255,"£752,622.34","£26,162.54","£33,750.00","£1,508.81","£194,424.87","£84,387.42","£1,092,855.98","£4,699.00",£0.00,"£4,699.00","£1,097,554.98",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1133,1114.94,299,289.91,127,126.3,18,17.81,5,5,,,1582,1553.96,,,,,,,,,0,0,1582,1553.96,"£4,392,012.23","£163,115.96",,"£449,940.16","£700,279.91","£559,307.09","£6,264,655.35",,,£0.00,"£6,264,655.35",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",17,16.9,25,23.9,113,112.1,44,44,3,3,,,202,199.9,5,5,,,17,16.4,,,22,21.4,224,221.3,"£592,072.04","£5,145.90",,£720.95,"£128,570.69","£65,822.68","£792,332.26","£136,485.98",,"£136,485.98","£928,818.24",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,7,7,14,13.83,5,4.88,,,27,26.71,,,,,,,,,0,0,27,26.71,"£110,223.38",£216.00,,,"£13,505.77","£24,468.17","£148,413.32",,,£0.00,"£148,413.32",
