Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
2021,June,Department for Transport ,Ministerial Department,Department for Transport,152,131.16,398,386.28,1466,1440.74,1372,1344.43,214,206.47,0,0,"3,602","3,509",19,19,0,0,46,40,0,0,65,59,"3,667","3,568","£14,186,815.46","£155,972.65","£28,941.85","£47,500.01","£3,868,954.91","£1,647,573.41","£19,935,758.29","£865,157.00","£5,446,209.95","£6,311,366.95","£26,247,125.24",
2021,June,Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4008,3382.51,907,848.41,953,917,283,272.58,7,7,0,0,"6,158","5,428",0,0,0,0,14,13,0,0,14,13,"6,172","5,441","£11,655,652.89","£408,276.52","£2,966.77","£249,801.74","£3,116,766.35","£1,173,413.00","£16,606,877.27","£203,647.03","-£12,642.72","£191,004.31","£16,797,881.58",
2021,June,Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1130,1057.27,2611,2433.66,968,942.8,125,124.13,9,8.75,0,0,"4,843","4,567",23,23,3,3,10,10,0,0,36,36,"4,879","4,603","£10,847,572.26","£702,479.88","£46,745.00","£287,168.46","£2,906,488.14","£1,190,605.92","£15,981,059.66","£326,197.05","£12,608.94","£338,805.99","£16,319,865.65",
2021,June,Maritime and Coastguard Agency,Executive Agency,Department for Transport,294,275.28,221,213.72,546,531.66,161,155.52,7,6.65,0,0,"1,229","1,183",15,15,0,0,0,0,0,0,15,15,"1,244","1,198","£3,467,240.60","£319,287.26","£19,800.00","£70,918.43","£928,533.67","£407,638.73","£5,213,418.69","£166,975.38",,"£166,975.38","£5,380,394.07",
2021,June,Vehicle Certification Agency,Executive Agency,Department for Transport,48,43.63,48,45.17,92,88.04,17,17,1,1,0,0,206,195,8,8,0,0,0,0,0,0,8,8,214,203,"£611,095.00","£16,749.00","£1,750.00","£7,333.00","£154,583.00","£65,032.00","£856,542.00","£27,811.00",,"£27,811.00","£884,353.00",
2021,June,British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,4,7,5.81,3,3,0,0,14,13,0,0,1,1,0,0,0,0,1,1,15,14,"£64,954.00","£3,128.00",,,"£8,321.00","£7,361.00","£83,764.00","£6,249.00","-£8,761.00","-£2,512.00","£81,252.00",
2021,June,High Speed 2,Executive Non-Departmental Public Body,Department for Transport,91,90.18,64,63.6,448,444.32,727,721.99,268,266.22,0,0,"1,598","1,586",81,81,47,47,221,221,0,0,349,349,"1,947","1,935","£9,497,036.29",£0.00,£0.00,£0.00,"£1,000,134.20","£1,010,801.72","£11,507,972.21","£2,093,732.33",,"£2,093,732.33","£13,601,704.54",
2021,June,Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,18,17.4,68,66.2,16,15.8,3,3,73,67.7,200,176,15,9.51,0,0,0,0,0,0,15,9.51,215,186,"£645,500.95","£10,762.29",£0.00,"£22,226.58","£178,683.74","£76,691.25","£933,864.81","£69,572.80",,"£69,572.80","£1,003,437.61",
2021,June,Transport Focus,Executive Non-Departmental Public Body,Department for Transport,0,0,7,6.8,22,22,12,10.95,4,4,0,0,45,44,0,0,0,0,4,1.2,0,0,4,1.2,49,45,"£178,810.00","£2,000.00",£0.00,£0.00,"£47,846.00","£20,375.00","£249,031.00","£22,553.00",,"£22,553.00","£271,584.00",
2021,June,Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,300,287,300,287,0,0,0,0,0,0,0,0,0,0,300,287,"£914,149.25","£1,646.65",£0.00,"£36,852.40","£250,674.09","£104,176.67","£1,307,499.06","£37,631.12",,"£37,631.12","£1,345,130.18",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
