Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,Comments
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",106,101.04335,340,332.69131,1239,1216.6368,1411,1370.04033,218,212.04113,0,0,3314,3232.45292,6,6,0,0,63,62.1,0,0,69,68.1,3383,3300.55292,"£12,348,308.20","£401,920.07","£356,291.24","£36,694.11","£2,702,167.29","£1,465,546.64","£17,310,927.55","£330,684.37","£3,262,238.43","£3,592,922.80","£20,903,850.35",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",55,50.1,246,226.7,494,457.1,49,46.3,6,5.6,0,0,850,786,0,0,0,0,0,0,0,0,0,0,850,786,"£2,108,129.70","£19,850.55",,"£28,082.00","£430,619.71","£217,884.88","£2,804,566.84",,,,"£2,804,566.84",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,10,51,49.37,85,79.51,21,20.61,2,2,0,0,169,161.49,0,0,0,0,13,12.8,0,0,13,12.8,182,174.29,"£440,517.45","£10,480.95",£500.00,£0.00,"£113,862.17","£44,583.37","£609,943.94","£118,206.21",£0.00,"£118,206.21","£728,150.15",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",33,29.85,47,43.45,153,145.31,45,42.72,11,10.51,0,0,289,271.84,0,0,0,0,0,0,0,0,0,0,289,271.84,"£815,898.68","£20,904.99",£800.00,"£1,576.93","£232,969.01","£82,212.23","£1,154,361.84",£0.00,£0.00,£0.00,"£1,154,361.84",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1116,1098.48,303,295.36,146,143.63,19,18,6,6,0,0,1590,1561,0,0,0,0,0,0,0,0,0,0,1590,1561,"£4,647,153.13","£123,400.29","£35,435.25","£457,596.17","£970,619.13","£589,176.11","£6,823,380.08",,,,"£6,823,380.08",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,14.6,23,22.2,141,140.1,52,51.5,4,4,0,0,235,232.4,16,10.2,0,0,0,0,0,0,16,10.2,251,242.6,"£743,169.85","£11,491.28","£553,594.08",£177.96,"£158,784.40","£156,890.10","£1,624,107.67","£81,064.64",,"£81,064.64","£1,705,172.31",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,5,5,19,17.33,6,5.88,0,0,0,0,0,0,0,0,0,0,1,1,1,1,32,30,"£112,916.23",,,,"£24,109.13","£12,936.44","£149,961.80",,,,"£149,961.80",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",451,396,239,225,210,203,42,41,6,6,0,0,948,871,1,1,0,0,0,0,15,15,,,,,"£1,988,408.62","£30,065.42",,"£17,655.00","£414,897.56","£188,232.32","£2,639,258.92","£1,924.00","£78,076.00","£80,000.00","£2,719,258.92",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,0,0,18,18,0,0,0,0,0,0,1,1,1,1,19,19,"£65,366.93",,,,"£14,356.85","£7,507.30","£87,231.08",,"£2,975.00","£2,975.00","£90,206.08",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.33,34,31.26,90,85.52,17,16.33,0,0,0,0,156,146.44,0,0,0,0,0,0,0,0,0,0,156,146.44,"£403,036.78","£4,740.55","£1,630.00",£726.71,"£103,044.91","£39,967.14","£553,146.09",£0.00,£0.00,£0.00,"£553,146.09",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",55,51.36,46,42.4,151,142.76,45,41.72,1,1,0,0,298,279.24,0,0,0,0,0,0,0,0,0,0,298,279.24,"£1,058,917.24","£16,380.99","£2,930.00","£2,017.72","£264,261.44","£110,254.20","£1,454,761.59",£0.00,£0.00,£0.00,"£1,454,761.59",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1092,1058.26,2103,1827.87,1804,1635.42,214,197.71,19,18.92,0,0,5232,4738.18,0,0,36,36,0,0,0,0,36,36,5268,4774.18,,"£231,236.89",£0.00,"£564,708.60","£2,336,023.97","£1,249,356.53","£4,381,325.99","£228,223.54","£20,802.79","£249,026.33","£4,630,352.32",
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,64,61.7,93,90.85,198,194.28,20,18.88,0,0,375,365.71,18,17.98,0,0,0,0,0,0,18,17.98,393,383.69,"£1,461,603.30","£240,076.26",£0.00,£0.00,"£362,452.27","£133,854.25","£2,197,986.08","£720,250.92",£0.00,"£720,250.92","£2,918,237.00",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)", -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,Data not available due to a new finance system.
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",199,179.22,363,337.09,341,328.36,285,268.01,26,26,0,0,1214,1138.68,27,26.6,0,0,21,20.6,0,0,48,47.2,1216,1140.67,"£3,183,526.00","£138,011.00","£20,098.00","£34,975.00","£708,817.00","£424,401.00","£4,509,828.00","£524,571.00",,"£524,571.00","£5,034,399.00",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",180,165,263,251,692,677,99,96,59,56,44,34,1337,1279,3,3,23,23,0,0,1,1,27,27,1364,1306,"£3,807,540.00","£214,182.00",£0.00,"£10,325.00","£571,407.00","£424,735.00","£5,028,189.00","£426,657.00",£0.00,"£426,657.00","£5,454,846.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1978,1886.9,1978,1886.9,31,25.2,,,57,55.3,31,13,119,93.5,2097,198,"£6,090,219.00","£363,909.00","£600,000.00","£13,963.00","£1,323,317.00","£754,737.00","£9,146,145.00","£627,323.00","£275,853.00","£903,176.00","£10,049,321.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",226,194.8,423,392.6,1236,1180,356,339.8,22,21.8,237,233.8,2500,2362.8,3,3,0,0,3,3,0,0,6,6,2506,2368.8,"£6,789,795.87","£257,737.76","£21,150.00","£39,520.87","£1,661,880.77","£711,000.99","£9,481,086.26","£127,363.79",£0.00,"£127,363.79","£9,608,450.05",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,221,210.5,221,210.5,8,8,19,19,,,,,27,27,248,238,"£1,191,146.73","£60,701.38",,,"£243,934.49","£150,154.97","£1,645,937.57","£375,334.00",,"£375,334.00","£2,021,271.57",
