Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.72,4,4.00,1,1.00,0,0.00,18,17.72,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18,18,"£58,317.46",£0.00,£0.00,£0.00,"£12,618.62","£6,436.22","£77,372.30",£0.00,"£2,950.00","£2,950.00","£80,322.30",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,27,24.78,79,74.47,17,16.73,2,2.00,0,0.00,140,131.52,0,0.00,0,0.00,0,0.00,0,0.00,0,0,140,132,"£394,439.85","£6,018.53","£27,332.52",£246.62,"£100,262.31","£45,417.53","£573,717.36",£0.00,£0.00,£0.00,"£573,717.36",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",70,65.25,42,39.84,156,147.46,31,29.87,4,4.00,0,0.00,303,286.42,0,0.00,0,0.00,1,1.00,0,0.00,1,1,304,287,"£790,693.76","£14,128.34","£34,371.68","£1,430.17","£205,839.73","£83,894.20","£1,130,357.88","£1,665.63",£0.00,"£1,665.63","£1,132,023.51",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,46,46.00,65,65.00,172,172.00,10,10.00,0,0.00,293,293.00,16,16.00,0,0.00,0,0.00,0,0.00,16,16,309,309,"£1,173,779.13","£215,784.69",£0.00,£0.00,"£276,717.99","£156,813.53","£1,823,095.34","£600,243.61",£0.00,"£600,243.61","£2,423,338.95",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",484,450.83,185,177.30,620,591.10,97,95.13,8,8.00,0,0.00,"1,394","1,322.36",34,34.00,0,0.00,9,9.00,0,0.00,43,43,"1,437","1,365","£3,488,802.00","£8,901.00","£256,235.00","£26,646.00","£768,607.00","£429,830.00","£4,979,021.00","£343,493.00",£0.00,"£343,493.00","£5,322,514.00",The Non-consolidated performance payments relate to the late payment of the August 2016 Insolvency pay award.
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",187,167.55,390,366.37,298,290.81,273,256.21,24,24,,,"1,172","1,105",17,17,,,7,7,,,24,24,"1,196","1,129","£3,073,288.00","£139,130.00","£46,402.00","£170,916.00","£675,779.00","£414,182.00","£4,519,697.00","£258,913.00",,"£258,913.00","£4,778,610.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",718,693.49,"2,172","1,893.26","1,728","1,579.31",202,187.30,16,16.00,0,0.00,"4,836","4,369.36",0,0.00,18,18.00,0,0.00,0,0.00,18,18,"4,854","4,387",,228845.49,666007.4,1224543.91,2342268,1351443.02,5813107.82,123724.65,27423.9,151148.55,5964256.37,Salary staff data missing.
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",221,204.00,332,317.00,889,871.00,121,117.00,83,79.00,28,15.00,"1,674","1,603.00",6,6.00,21,21.00,2,2.00,0,0.00,29,29,"1,703","1,632","£4,828,247.00","£322,690.00",£0.00,"£12,381.00","£644,810.00","£536,645.00","£6,344,773.00","£478,818.00",£0.00,"£478,818.00","£6,823,591.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,095","2,004.70","2,095","2,004.70",16,12.10,0,0.00,95,95.00,7,6.00,118,113,"2,213","2,118","£553,117.00","£317,338.00",£0.00,"£152,293.00","£1,230,099.00","£610,210.00","£2,863,057.00","£465,931.00",£0.00,"£465,931.00","£3,328,988.00",We do not use grades so cannot report on these.
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",236,205.70,414,386.60,"1,206","1,151.00",363,345.10,24,23.20,326,323.80,"2,569","2,435.40",7,6.70,0,0.00,2,2.00,0,0.00,9,9,"2,578","2,444","£6,768,707.61","£359,642.22","£14,417.46","£23,039.47","£1,694,321.83","£727,749.08","£9,587,877.67","£92,751.12",£0.00,"£92,751.12","£9,680,628.79",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,215,206.44,215,206.44,4,4,33,33,3,3,,,40,40,255,246.44,"£285,491.00","£285,491.00","£285,491.00","£285,491.00","£285,491.00","£285,491.00"," £1,712,946.00 ","£285,491.00",," £285,491.00 "," £1,998,437.00 ",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",153,146.26,277,267.66,"1,141","1,112.74",398,382.06,38,36.28,59,59.00,"2,066","2,004.00",6,6.00,0,0.00,41,41.00,0,0.00,47,47,"2,113","2,051","£6,121,729.00","£343,073.50","£2,112.00","£114,536.90","£1,572,474.00","£702,219.60","£8,856,145.00","£119,639.46",£0.00,"£119,639.46","£8,975,784.46",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",54,50.78,84,80.46,423,417.17,150,145.69,10,10.00,25,25.00,746,729.10,5,5.00,0,0.00,361,361.00,0,0.00,366,366,"1,112","1,095","£3,135,173.43",£0.00,"£245,044.13","£89,866.19","£456,818.09","£404,716.39","£4,331,618.23","£1,643,445.27",£0.00,"£1,643,445.27","£5,975,063.50",Allowances included within salary costs.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,"£126,067.00",£0.00,£0.00,£0.00,"£10,263.00","£16,380.00","£152,710.00","£9,954.00",£0.00,"£9,954.00","£162,664.00",Please note salaries include CILON payments.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",3,3,5,5,42,39,47,43.95,7,6.3,0,0,104,97,4,2.75,0,0,9,8,0,0,13,10.75,117,108,"£325,215.23","£4,981.56","£3,300.00",,"£70,105.63","£37,458.37",441060.79,235507.23,0,235507.23,676568.02,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. From March 2017 data was reported for BEIS as staff who moved departments due to the machinery of government changes were no longer on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** UK Commission for Employment & Skills (UKCES) closed in March 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Industry Training Board (CITB) no longer applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering Construction Industry Training Board (ECITB) no longer applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
