Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,1017,941.01,917,884.30,1592,1543.39,767,744.78,119,116.66,0,0.00,"4,412","4,230.14",175,172.3,15,15,169,168,0,0.00,359,355.30,"4,771","4,585.44","£12,319,172.83","£193,562.60","£23,990.00","£93,518.35","£1,920,290.85","£990,961.53","£15,541,496.16","£2,273,370.94","£2,294,574.29","£4,567,945.23","£20,109,441.39",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13799,12068.49,3121,2915.59,2536,2355.05,638,622.48,32,31.92,0,0.00,"20,126","17,993.53",(..),423.00,(..),(..),(..),(..),(..),(..),0,423.00,"20,126","18,417","£34,170,361.03","£478,920.34","-£100,364.23","£333,364.45","£5,461,319.81","£2,308,814.86","£42,652,416.26","£565,368.45",,"£565,368.45","£43,217,784.71",
National Archives,Executive Agency,Ministry of Justice,190,170.23,126,121.46,257,249.68,61,60.16,6,6,0,0,640,607.53,11,10.4,(..),(..),12,12,(..),(..),23,22.40,663,630,#VALUE!,"£6,184.33",(..),"£14,342.34","£268,620.61","£123,501.70",#VALUE!,"£74,037.06",,"£74,037.06",#VALUE!,
National Offender Management Service,Executive Agency,Ministry of Justice,34414,32864.32,6386,6110.61,3728,3487.50,625,609.50,39,38.88,0,0.00,"45,192","43,110.81",304.95,304.95,19,19,12,12,17,17,352.95,352.95,"45,545","43,464","£98,864,556.40",£0.00,£0.00,"£4,202,877.46","£18,750,413.45","£7,749,484.14","£129,567,331.45","£2,352,599.64","£37,758.80","£2,390,358.44","£131,957,689.89",
The Office of the Public Guardian,Executive Agency,Ministry of Justice,301,282.61,140,134.27,66,64.39,10,9.82,2,1.78,0,0.00,519,492.87,164,124.16,0,0,0,0,0,0.00,164,124.16,683,617,"£905,193.23","£15,695.80",£0.00,"£54,155.69","£136,866.32","£59,896.34","£1,171,807.38","£394,392.23",£0.00,"£394,392.23","£1,566,199.61",April and May accurate in aggregate (subject to any Phoenix delays) but not individually due to year end accruals etc. 
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,75,69.18,75,69.18,3,2.81,(..),(..),(..),(..),(..),(..),3,2.81,78,72,"£204,442.00",£43.00,(..),(..),"£37,260.00","£16,703.00","£258,448.00","£6,415.00",(..),"£6,415.00","£264,863.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,353,327.3,353,327.30,21,20.1,(..),(..),(..),(..),0,0,21,20.10,374,347,"£735,745.93",£857.65,(..),"£21,432.64","£133,257.19","£54,250.48","£945,543.89","£30,396.41",(..),"£30,396.41","£975,940.30",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,10,10,19,17,24,23.69,16,15.2,3,3,1,0.4,73,69.29,(..),(..),(..),(..),(..),(..),(..),(..),0,0.00,73,69,"£204,723.32","£3,417.67","£1,000.00",,"£32,169.45","£17,616.65","£258,927.09",(..),(..),£0.00,"£258,927.09",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,29,29,29.00,(..),(..),(..),(..),(..),(..),(..),(..),0,0.00,29,29,"£129,788.62",(..),(..),(..),"£28,907.88","£15,482.34","£174,178.84",(..),(..),£0.00,"£174,178.84","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,779,733.53,261,251.28,391,375.24,101,99.67,16,10.2,0,0,"1,548","1,469.92",67,60.55,(..),(..),71,70.74,(..),(..),138,131.29,"1,686","1,601","£3,424,337.95",(..),(..),"£25,959.15","£22,323.16","£283,518.99","£3,756,139.25","£896,122.50",(..),"£896,122.50","£4,652,261.75",
