Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
2021,March,Monitor,Executive Non-Departmental Public Body,Department of Health,6,5.6,132,128.16667,265,256.59459,721,693.45362,564,541.29599,22,13.5,"1,710","1,639",,,,,,,,,0,0,"1,710","1,639","£8,795,494.78","£379,177.30",£0.00,"£99,985.67","£1,272,334.40","£1,099,687.66","£11,646,679.81","£20,425.08",,"£20,425.08","£11,667,104.89",,NHS Improvement (Monitor and NHS Trust Development Authority)
2021,March,National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,14.59,93,88.95,287,275.1,266,251.14,66,63.48,2,1.4,729,695,6,5.35,,,,,,,6,5.35,735,700,"£2,793,407.73","£8,209.06",,,"£539,695.70","£328,421.66","£3,669,734.15","£38,363.74",,"£38,363.74","£3,708,097.89",,
2021,March,NHS Blood & Transplant,Special Health Authority,Department of Health,2033,1643.94,1264,1157.02,1718,1593.09,621,603.8,66,64.6,50,47.75,"5,752","5,110",93,93,25,25,35,35,0,0,153,153,"5,905","5,263","£15,309,381.82","£785,576.01",£0.00,"£486,974.90","£2,045,803.85","£1,716,446.40","£20,344,182.98","£3,048,246.69",,"£3,048,246.69","£23,392,429.67",,NHS Blood and Transplant
2021,March,NHS Business Services Authority,Special Health Authority,Department of Health,1824,1616.53,744,708.64,512,501.58,267,253.12,68,66.14,,,"3,415","3,146",79,79,,,,,26,26,105,105,"3,520","3,251","£7,349,674.36","£13,608.13","£107,678.54","£132,377.64","£920,281.91","£676,521.09","£9,200,141.67","£576,249.23",,"£576,249.23","£9,776,390.90",,NHS Business Services Authority
2021,March,NHS England,Special Health Authority,Department of Health,91,80.78534,1154,1091.16299,1897,1830.57842,3291,3167.97245,1416,1296.66421,73,39.99353,"7,922","7,507",167,153.33575,80,40.30746,0,0,0,0,247,193.64321,"8,169","7,701","£44,538,581.24",£0.00,£0.00,£0.00,"£5,544,125.37","£5,096,583.54","£55,179,290.15",,,£0.00,"£55,179,290.15",,
2021,March,NHS Litigation Authority,Special Health Authority,Department of Health,9,8,72,69.86,156,150.98,196,186.7226,9,9,0,0,442,425,16,16,0,0,0,0,0,0,16,16,458,441,"£1,613,741.15","£190,846.09",£0.00,"£2,768.00","£217,067.21","£192,372.72","£2,216,795.17","£173,248.60",,"£173,248.60","£2,390,043.77",,NHS Resolution
2021,March,NHS Trust Development Authority,Special Health Authority,Department of Health,6,5.6,130,126.16667,254,246.4,700,672.95362,491,470.66266,15,6.5,,,,,,,,,,,,,,,"£8,019,398.82","£379,115.41",£0.00,"£99,985.67","£1,053,272.73","£1,004,018.40",,,,,,,
2021,March,Public Health England,Executive Agency,Department of Health,905,792.58,925,844.42,2714,2487.58,1871,1780.55,469,407.4,4,3.5,"6,888","6,316",204,128.8,0,0,53,32.7,0,0,257,161.5,"7,145","6,478","£27,159,353.05","£8,113,901.86",£0.00,"£566,043.19","£5,264,237.47","£2,738,320.22","£43,841,855.79",,,£0.00,"£43,841,855.79","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures.","costs for off payroll workers is sent from PHE Finance to DH Finance on a different return
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
