Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,235,224.48697,732,713.18938,2301,2250.37647,1227,1191.56802,148,142.12419,39,38.8,4682,4560.54503,18,18,22,22,152,146.08,2,0.4,194,186.48,4876,4747.02503,15567242.95,455778.36,128070.9,85198.29,4854858.07,2657716.93,23748865.5,1459553.62,543206.21,2002759.83,25751625.33,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,130,117.74165,79,74.31839,72,69.27837,17,11.75677,2,2,0,0,300,275.09518,0,0,0,0,0,0,0,0,0,0,300,275.09518,0,0,0,0,0,0,0,0,0,0,0,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10116,8800.10783,2548,2385.17532,2499,2331.48131,619,602.78991,79,77.83784,1,0.86486,15862,14198.25707,0,1965.02,0,0,0,30.02,0,0,0,1995.04,15862,16193.29707,29480001.56,398202.44,472703.74,405138.04,8444002.41,2686031.43,41886079.62,6102375.5,347890.07,6450265.57,48336345.19,None
Legal Aid Agency,Executive Agency,Ministry of Justice,478,441.14365,323,302.32002,289,277.40085,93,92.12763,12,10.55834,0,0,1195,1123.55049,22,20.59,0,0,0,0,0,0,22,20.59,1217,1144.14049,3128305.63,14384.11,3753,30678.09,699970.11,272029.3,4149120.24,59622.24,0,59622.24,4208742.48,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28377,26915.65845,6171,5916.36983,6335,6042.28025,729,712.24133,78,77.49459,11364,10457.71046,53054,50121.75491,1037.8,1037.8,7,7,1.4,1.4,1,1,1047.2,1047.2,54101.2,51168.95491,117687772.6,13129826.01,5527161.44,10867126.05,33621722.27,13420390.26,194253998.6,3928824.47,621174.15,4549998.62,198803997.3,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,936,852.70329,403,383.99591,182,172.73539,18,18,5,5,0,0,1544,1432.43459,144,132.5,0,0,0,0,0,0,144,132.5,1688,1564.93459,2605106.14,73655.45,10607.48,27406.89,693080.7,234759.22,3644615.88,257096.02,0,257096.02,3901711.9,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2010,1841.190709,2010,1841.190709,47,47,0,0,2,2,0,0,49,49,2059,1890.190709,0,0,0,0,0,0,0,0,0,0,0,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,95,89.69,95,89.69,0,0,0,0,0,0,0,0,0,0,95,89.69,0,0,0,0,0,0,0,0,0,0,0,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,16,15.2,43,42.4,8,7.8,1,1,1,0.4,72,69.6,3,3,0,0,8,8,1,0.1,12,11.1,84,80.7,75805.03,3097.52,-18337.5,1143.33,54539.74,20285.01,136533.13,65644.5,-5044,60600.5,197133.63,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,36,32.71,36,32.71,0,0,0,0,0,0,0,0,0,0,36,32.71,0,0,0,0,0,0,0,0,0,0,0,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,11,10.1,94,91.2,39,37.8,8,7.4,1,1,0,0,153,147.5,3,3,0,0,0,0,1,0.6,4,3.6,157,151.1,355817.25,3406.51,1745,738.01,86490.97,36708.45,484906.19,12920.97,0,12920.97,497827.16,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.1,13,12.4,41,39.97,34,33.38,2,2,0,0,93,89.85,3,3,0,0,0,0,0,0,3,3,96,92.85,271860.1,4715.07,4400,0,128843.29,38102.46,447920.92,12101.8,0,12101.8,460022.72,None
