Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,327,299.98,678,660.67,1485,1457.13,2449,2403.45,430,421.59,2632,2618.7,"8,001","7,862",28,27.7,335,331.2,197,193.75,560,552.65,"8,561","8,414","£29,864,622.91","£993,692.66","£306,760.27","£157,041.46","£7,708,718.96","£3,523,317.81","£42,554,154.07","£1,495,910.51","£44,050,064.58",On 31st Jan 2020 DEXEU was closed and its residual staff absorbed into CO pending reappointment to roles in other Government Depts
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,5,5,3,2.8,6,5.93,0,0,1,1,16,15,0,0,0,0,0,0,0,0,16,15,"£55,660.45",£934.50,£0.00,£0.00,"£15,824.94","£6,222.52","£78,642.41",£0.00,"£78,642.41",
Crown Commercial Services,Executive Agency,Cabinet Office,26,26,99,92,361,346,153,145,23,22,0,0,662,631,0,0,56,55.6,0,0,56,55.6,718,687,"£1,980,842.59","£38,319.52",£844.00,"£1,153.00","£214,424.64","£531,831.60","£2,767,415.35","£538,256.78","£3,305,672.13",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,23,22,461,429,249,237,72,71,14,14,0,0,819,773,2,2,0,0,3,1.5,5,3.5,824,777,"£2,222,245.75","£45,383.88",£0.00,"£7,064.82","£548,510.40","£224,709.35","£3,047,914.20","£16,434.67","£3,064,348.87",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,19,18.29,48,47.06,71,69.85,14,14,1,1,156,153,13,13,0,0,0,0,13,13,169,166,"£586,722.00","£12,146.00",£0.00,"£4,609.00","£164,967.00","£68,299.00","£836,743.00","£206,585.49","£1,043,328.49",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,16,15.6,111,105.88,69,64.33,11,10,0,0,208,197,9,9,2,2,0,0,11,11,219,208,"£672,208.00","£13,611.00",£0.00,£473.00,"£187,409.00","£73,738.00","£947,439.00","£92,711.00","£1,040,150.00",
