Gender diversity data 2017-18,Female employees as % of workforce,% of female employees at senior SMS grades
Quarter 1,24.10%,33.30%
Quarter 2,24.26%,20.00%
Quarter 3,24.62%,25.00%
Quarter 4,25.15%,25.00%
