Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2023,June,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",60,58.9,372,361.79,2802,2763.66,3001,2925.3,344,327.44,0,0,6579,6437.09,5,5,236,217.54,0,0,241,222.54,16,6820,6659.63,25752455.1,945151.62,92250,66370.22,7274987.77,3011948.66,37143163.37,1149921.19,610654.22,1760575.41,38903738.78,
2023,June,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",48,41.47,288,266.6,589,541.3,54,52.81,7,7,0,0,986,909.18,2,2,10,4.26,32,32,0,0,0,986,909.18,2549741.58,21015.12,0,4281.25,693914.91,256570.09,3525522.95,0,0,0,3525522.95,
2023,June,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1390,1362.784279,176,168.417558,31,29.68,0,0,0,0,0,0,1597,1560.881837,0,0,0,0,0,0,0,0,0,1597,1560.881837,5208660,135918,767440,921917,1058293,824777,8917005,0,0,0,8917005,
2023,June,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,9,28,26.6,210,203.4,95,93,3,3,0,0,346,335,9,7.5,0,0,0,0,9,7.5,0,355,342.5,1152895.42,17066.94,922157.56,1049.66,312319.8,253065.73,2658555.11,71838,0,71838,2730393.11,
2023,June,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,0,17,16.9,28,26.05,4,4,0,0,50,46.95,0,0,0,0,0,0,0,0,0,50,46.95,211449,0,0,0,62141,32503,306093,35865,0,35865,341958,
2023,June,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",436,387.08,314,295.49,414,399.56,111,108.76,7,7,0,0,1282,1197.89,16,16,76,76,0,0,92,92,0,1374,1289.89,3238511.92,277787.04,102408.47,48803.33,878444.29,368877.76,4914832.81,1239495,0,1239495,6154327.81,
2023,June,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.9,10,10,0,0,1,1,22,21.9,0,0,0,0,0,0,0,0,3,22,21.9,93615.99,216.66,0,0,26123.44,10630.52,130586.61,0,7517.85,7517.85,138104.46,
2023,June,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1590,1483.64497,2519,2247.198348,2311,2075.573949,318,300.9386637,28,27.60810811,0,0,6766,6134.964039,0,0,214,214,0,0,214,214,3,6980,6348.964039,17404302.23,293826.86,0,2381361.29,4496460.62,4511729.85,29087680.85,500702.87,34059.32,534762.19,29622443.04,
2023,June,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",475,439.205,189,180.131,816,781.549,157,152.69,12,12,0,0,1649,1565.575,87,87,57,57,0,0,144,144,0,1793,1709.575,4621921.63,26072.26,42275,15357.4,1256384.72,496024.4,6458035.41,1234090.37,0,1234090.37,7692125.78,
2023,June,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",193,174.35,429,400.26,613,587.55,433,409.69,24,23.35,0,0,1692,1595.2,53,53,0,0,41,41,94,94,4,1786,1689.2,7553005,205355,177579,155228,1499047,925974,10516188,696263,0,696263,11212451,
