Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,142,137.94,399,392.58,703,687.94,1059,1038.44,249,243.63,181,177.1,"2,733","2,678",4,4,108,108,117,117,2,2,231,231,"2,964","2,909","£9,653,364.46","£425,970.43","£85,477.19","£69,612.79","£2,151,062.95","£1,165,436.31","£13,550,924.13","£4,255,481.11","£163,350.46","£4,418,831.57","£17,969,755.70"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,2,2,7,6.6,5,5,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£51,010.30",£416.67,"£3,600.00",£0.00,"£11,065.46","£6,194.43","£72,286.86",£0.00,£0.00,£0.00,"£72,286.86"
Crown Commercial Services,Executive Agency,Cabinet Office,25,23.09,114,107.73,337,324.74,207,198.57,67,63.71,0,0,750,718,0,0,59,59,0,0,0,0,59,59,809,777,"£2,652,789.74","£2,858.05","£3,250.00",£992.57,"£546,345.02","£297,462.05","£3,503,697.43","£720,782.39","£173,904.00","£894,686.39","£4,398,383.82"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,102,97,448,411,247,233,71,69,19,19,0,0,887,829,20,20,0,0,5,0.5,0,0,25,20.5,912,850,"£2,002,101.61","£25,312.03",£0.00,"£17,134.46","£418,737.84","£210,584.62","£2,673,870.56","£85,046.50",£0.00,"£85,046.50","£2,758,917.06"
