Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,535,492.51,724,703.36,1760,1721.61,2331,2284.15,417,409.71,2573,2558.68,"8,340","8,170",19,18.18,318,312.05,201,194.23,538,524.46,"8,878","8,694","£30,349,330.34","£997,801.88","£93,234.90","£225,943.26","£7,806,419.03","£3,526,626.17","£42,999,355.58","9,460,832.27","£52,460,187.85",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,7,7,3,2.8,6,5.93,0,0,1,1,18,17,0,0,0,0,0,0,0,0,18,17,"£59,976.11","£1,351.84",£0.00,£0.00,"£17,114.88","£6,644.95","£85,087.78",£0.00,"£85,087.78",
Crown Commercial Services,Executive Agency,Cabinet Office,24,24,104,97,367,352,159,151,20,19,2,0,676,643,0,0,53,53,0,0,53,53,729,696,"£2,029,958.54","£38,597.91",£0.00,"£4,206.88","£549,251.15","£218,285.85","£2,840,300.33","£799,349.42","£3,639,649.75",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,19,18,461,428,250,237,68,66,13,13,0,0,811,762,1,1,0,0,4,3.5,5,4.5,816,767,"£2,062,749.35","£37,058.28",£0.00,"£4,462.01","£522,978.21","£208,801.86","£2,836,049.71","27,728.03","£2,863,777.74",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,18,17.29,50,48.72,70,68.85,14,14,0,0,154,151,13,13,0,0,0,0,13,13,167,164,"£608,025.00","£15,060.00",£0.00,£0.00,"£163,818.00","£74,222.00","£861,125.00","£284,566.89","£1,145,691.89",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,16,15.6,115,110,63,58.9,14,13,0,0,209,199,5,5,2,2,0,0,7,7,216,206,"£696,573.00","£13,138.00","£1,354.00",£0.00,"£27,620.00","£76,867.00","£815,552.00","£57,289.00","£872,841.00",
