Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,455,442.1,610,597.8,1778,1762.8,1302,1281,417,413.9,,,4562,4497.6,36,36,,,27,26.4,6,5.8,69,68.2,4631,4565.8,12698625.61,917495.46,12126.57,131529.26,2921213.32,1326474.54,18007464.76,328212.28,68967.02,397179.3,18404644.06,,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,32,27.44,23,21.61,17,15.04,10,9.8,1,1,7,7,90,81.89,,,,,,,,,0,0,90,81.89,187552,8317,,186,38954,18077,253086,,,0,253086,,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,35,33.87,201,196.49,796,777.55,317,314.46,85,84.61,,,1434,1406.98,227,217.84,79,75.88,,,,,306,293.72,1740,1700.7,4618277.99,957210.17,0,25473.68,1015138.59,422352.43,7038452.86,420760.82,,420760.82,7459213.68,,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,8,7.5,2,2,1,1,,,11,10.5,,,,,,,,,0,0,11,10.5,33330.95,273.31,,,5296.79,3492.78,42393.83,,,0,42393.83,,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,,MACC has no contingent labour. Individual pieces of work are commissioned from the Association of Commonwealth Universities but on a management fee basis rather than relating to individuals.
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,13,13,16,16,11,11,2,2,,,42,42,,,,,,,,,0,0,42,42,139926.25,,,,23407.88,15273.09,178607.22,,,0,178607.22,,
FCO Services,Executive Agency,Foreign and Commonwealth Office,103,100.97,184,180.15,395,387.46,172,152.93,4,4,39,39,897,864.51,39,39,13,13,151,146.9,4,4,207,202.9,1104,1067.41,2379345.68,493331.58,20620,226181.63,502319.7,276422.24,3898220.83,1414774.14,0,1414774.14,5312994.97,,
