,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",97,92.03,419,409.50,1827,1795.50,1927,1866.65,268,255.84,96,68.88,4634,4488.40,11,11.00,,,40,32.00,8,2.26,59,45.26,"4,693","4,534","£16,503,662.27","£711,082.16","£654,250.00","£34,071.30","£4,604,579.20","£2,003,038.52","£24,510,683.45","£662,385.00","£6,015,958.00","£6,678,343.00","£31,189,026.45",Any journals posted in Oracle by the Financial Accountants during the Adjustment Period 02 should only have the potential to change the Temp/Agency or Consultancy figures.  The pay related figures are taken from the March payroll data and should not change.,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",51,45.37,311,290.15,539,501.70,50,45.78,6,6.00,,,957,889.00,,,,,,,,,0,0.00,957,889,"£2,260,271.37","£20,161.95",£0.00,"£16,652.70","£567,112.54","£192,159.30","£3,056,357.86",,,£0.00,"£3,056,357.86",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1388,1361.10,141,136.45,32,30.80,0,0.00,0,0.00,0,0,1561,1528.35,,,,,,,,,0,0.00,"1,561","1,528","£4,622,040.70","£123,819.88","£25,950.70","£703,710.73","£862,657.15","£643,972.29","£6,982,151.45",,,£0.00,"£6,982,151.45",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.40,28,27.00,165,161.90,54,53.60,3,3.00,0,0,264,257.90,4,4.00,0,0,0,0.00,0,0.00,4,4.00,268,262,"£873,453.09","£12,561.13","£5,763.49","£1,586.85","£227,826.92","£96,897.49","£1,218,088.97","£29,654.28",£0.00,"£29,654.28","£1,247,743.25",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,9,8.38,18,15.39,6,5.30,0,0,35,31.07,,,,,,,,,0,0.00,35,31,"£178,185.00",£0.00,£0.00,£0.00,"£42,831.00","£20,195.00","£241,211.00",,,£0.00,"£241,211.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",452,394.82,287,270.53,264,253.86,60,58.79,6,6.00,0,0,1069,984.00,9,9.00,0,0,35,35.00,0,0.00,44,44.00,"1,113","1,028","£2,342,391.17","£28,099.31",£517.54,"£21,689.38","£652,612.08","£225,254.52","£3,270,564.00","£26,907.98","£425,050.19","£451,958.17","£3,722,522.17",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,0,0.00,1,1,18,17.72,0,0.00,0,0,0,0.00,2,2.00,2,2.00,20,20,"£70,567.45","£2,600.00","£7,750.00",£0.00,"£19,379.21","£9,380.58","£109,677.24",£0.00,"£4,950.00","£4,950.00","£114,627.24",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1460,1381.20,2178,1884.74,1868,1665.46,242,223.68,23,22.84,0,0,5771,5177.93,0,0.00,26,26,0,0.00,0,0.00,26,26.00,"5,797","5,204","£12,487,851.15","£300,481.94",£100.00,"£1,297,296.03","£3,365,796.16","£10,658,218.04","£28,109,743.32","£164,004.97","£654,857.25","£818,862.22","£28,928,605.54",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",561,528.18,191,180.20,769,736.57,135,132.32,10,10.00,0,0,1666,1587.28,69,69.00,0,0,11,11.00,0,0.00,80,80.00,"1,746","1,667","£4,297,016.15","£17,140.17","£27,250.00","£38,349.24","£1,168,597.11","£452,919.62","£6,001,272.29","£729,065.85",£0.00,"£729,065.85","£6,730,338.14",,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",199,184.80,359,333.73,428,410.82,314,296.46,26,25.86,0,0,1326,1251.67,30,30,0,0,47,47,0,0,77,77.00,"1,403","1,329","3,856,168","153,964","23,202","89,800","1,102,173","436,404","£5,661,711.00","482,205",£0.00,"£482,205.00","£6,143,916.00",,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2043,1945.5,2043,1945.50,0,0.00,0,0,132,127.10,16,5.00,148,132.10,"2,191","2,078","£6,119,108.37","£524,345.79",£0.00,£0.00,"£722,646.39","£1,701,800.88","£9,067,901.43","£1,226,600.89","£183,996.00","£1,410,596.89","£10,478,498.32",,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,278,268.4,278,268.40,15,14.6,57,55.7,0,0,0,0,72,70.30,350,339,"£1,974,815.95","£72,858.41",£0.00,£282.62,"£503,703.88","£296,193.40","£2,847,854.26",£0.00,"£679,950.69","£679,950.69","£3,527,804.95",,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",69,63.93,169,166.05,683,671.91,245,234.94,13,12.30,78,78,1257,1227.13,0,0.00,0,0,368,368.00,0,0.00,368,368.00,"1,625","1,595","£4,776,518.48",£0.00,"£136,148.15","£128,365.32","£785,534.88","£586,386.82","£6,412,953.65","£2,402,950.24",£0.00,"£2,402,950.24","£8,815,903.89",,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,10,10.00,88,86.73,89,88.00,13,12.47,0,0,201,198.20,0,0.00,0,0,29,29.00,0,0.00,29,29.00,230,227,"£873,544.54","£18,834.80",£300.00,£0.00,"£238,994.78","£100,145.52","£1,231,819.64","£35,933.43","£926,632.75","£962,566.18","£2,194,385.82",,,
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",509,456.83,1092,1037.19,3740,3604.91,1171,1120.35,203,190.90,247,239.59,6962,6649.77,145,145,67,67,102,102,0,0,314,314.00,"7,276","6,964","£21,414,390.11","£1,087,157.11","£173,033.94","£149,740.49","£5,162,975.38","£2,408,988.48","£30,396,285.51","£1,584,653.99","£171,678.74","£1,756,332.73","£32,152,618.24",,,
