Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,324,298.44,596,578.97,1317,1290.97,2139,2096.21,373,366.62,2615,2601.73,"7,364","7,233",34,29.57,326,324.91,192,189.74,552,544.22,"7,916","7,777","£27,263,775.97","£953,657.09","£72,030.33","£109,399.35","£7,040,586.57","£3,199,527.66","£38,638,976.97","£5,530,528.70","£44,169,505.67"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,4,4,3,2.8,6,5.93,0,0,1,1,15,14,0,0,0,0,0,0,0,0,15,14,"£53,356.71","£1,428.92",£0.00,£0.00,"£15,334.60","£6,072.06","£76,192.29",£0.00,"£76,192.29"
Crown Commercial Services,Executive Agency,Cabinet Office,22,22,101,94,351,336,154,146,23,22,0,0,651,620,0,0,54,53.6,0,0,54,53.6,705,674,"£1,942,759.69","£39,041.77","£2,641.02",£324.99,"£519,140.64","£210,468.02","£2,714,376.13","£866,085.05","£3,580,461.18"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,24,16,457,425,252,239,73,72,16,16,0,0,822,768,3,3,0,0,2,1.5,5,4.5,827,773,"£2,165,684.97","£30,821.41",£0.00,"£15,687.15","£547,992.74","£224,195.15","£2,984,381.42","£25,531.52","£3,009,912.94"
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,16,15.6,48,46.75,72,70.85,15,15,0,0,154,151,0,0,0,0,11,11,11,11,165,162,"£589,755.00","£11,162.00","£1,644.00",£434.00,"£165,573.00","£68,387.00","£836,955.00","£59,436.47","£896,391.47"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,15,14.6,109,104,68,64,12,11,0,0,205,195,6,6,3,3,0,0,9,9,214,204,"£696,092.00","£13,569.00",£0.00,£699.00,"£189,238.00","£75,244.00","£974,842.00","£38,020.00","£1,012,862.00"
