Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
2023,February,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",66,64.9,386,375.84,2491,2461.29,2887,2814.14,339,324.97,0,0,6169,6041.14,5,5,241,218.6,0,0,246,223.6,14,6415,6264.7,24874652.71,881652.42,312206,90780.47,6861824.26,2974180,35995295.86,871653.15,4726756.2,5598409.35,41593705.21
2023,February,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",46,39.47,300,279.16,612,564.45,55,51.9,8,8,0,0,1021,942.98,2,2,30,30,0,0,32,32,0,1053,975,2637394.09,22361.83,0,2914.32,709883.09,259594.71,3632148.04,0,0,0,3632148.04
2023,February,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1398,1368.71,173,167.43,31,29.89,0,0,0,0,0,0,1602,1566.03,0,0,0,0,0,0,0,0,0,1602,1566,5199592,94806,0,1091621,1042139,738116,8166274,0,0,0,8166274
2023,February,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,9.2,26,25.2,201,195.4,88,87.5,3,3,0,0,328,320.3,13,11.6,0,0,0,0,13,11.6,0,341,331.9,1145126.15,59662.11,3295.41,465.01,311564.37,132649.97,1652763.02,124689,0,124689,1777452.02
2023,February,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,32,29.6,5,5,0,0,54,51.6,0,0,0,0,0,0,0,0,0,54,51.6,233510,0,0,0,54913,24822,313245,0,0,0,313245
2023,February,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",419,369.28,303,286.25,376,362.8,104,101.52,7,7,0,0,1209,1126.85,18,18,83,83,0,0,101,101,0,1310,1227.9,3032920.17,116391.73,0,51237.41,828782.03,316499.99,4345831.33,1296862,0,1296862,5642693.33
2023,February,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.8,10,10,0,0,1,1,22,21.8,0,0,0,0,0,0,0,0,2,22,21.8,92988.66,216.66,0,0,25944.25,10543.95,129693.52,0,5778.57,5778.57,135472.09
2023,February,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1594,1488.01,2458,2194.07,2306,2078.79,322,305.37,28,27.53,0,0,6708,6093.76,0,0,257,257,0,0,257,257,4,6965,6350.8,17167148.29,499236.92,0,2060908.76,4390118.46,4197069.56,28314481.99,678375.77,37004.53,715380.3,29029862.29
2023,February,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",480,443.78,192,182.05,801,767.63,156,151.84,12,12,0,0,1641,1557.3,63,63,0,0,71,71,134,134,0,1775,1691.3,4569493.59,29459.19,47910,59753.55,1250939.62,489947.27,6447503.22,874724.07,0,874724.07,7322227.29
2023,February,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",210,190.48,437,408.05,614,590.48,413,391.57,24,23.7,0,0,1698,1604.29,0,0,0,0,0,0,0,0,0,1698,1604.3,5243510,208872,49020,120739,1498503,594423,7715067,1056810,0,1056810,8771877
2023,February,Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",73,72.7,214,208.1,518,488.8,765,710.8,482,454.98,173,159.2,2225,2094.58,0,0,0,0,1,0,1,0,1,2226,2094.6,6963707.98,710666.28,0,0,841254.26,1959478.79,10475107.31,10475107.31,962069.68,11437176.99,21912284.3
2023,February,Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,0,0,0,0,0,0,0,0,364,356.12,364,356.12,0,0,0,0,0,0,0,0,0,364,356.1,2169536.2,132460.93,-3750,64.44,601502.36,278761.29,3178575.22,419869.66,0,419869.66,3598444.88
2023,February,UKAEA,Executive non-departmental public body,,69,64.03,244,240.81,945,930.8,390,379.3,17,16.5,100,99.2,1765,1730.64,0,0,528,528,0,0,528,528,0,2293,2258.6,6765356.82,20514.88,385158.33,108211.27,1304280.78,832085.19,9415607.27,2417459.88,0,2417459.88,11833067.15
2023,February,UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,11,11,115,114.1,127,126.1,11,11,0,0,265,263.2,0,0,0,0,0,0,0,0,0,265,263.2,1051172.09,35990.27,36200,0,307553.41,127484.22,1558399.99,337994.52,0,337994.52,1896394.51
2023,February,UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",570,532,1040,995.08,4307,4163.72,1556,1495.28,248,236.47,304,292.63,8025,7715.18,84,71.49,23,15.8,184,158.97,291,246.3,0,8316,7961.4,24945534.72,1458323.28,297610,176911.27,20780620.5,2874262.78,50533262.54,2330679.05,213138.9,2543817.95,53077080.49
