Gender diversity data 2023-24,Female employees as % of workforce,% of female employees at senior SMS grades
Quarter 1,29.95%,55.56%
Quarter 2,29.77%,62.50%
Quarter 3,30.66%,62.50%
Quarter 4,31.39%,62.50%
