Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,247,233.60,524,509.64,904,884.26,1477,1450.20,338,331.78,1807,1800.25,"5,297","5,210",5,5,144,138.5,181,175.7,0,0,330,319.2,"5,627","5,529","£18,396,771.25","£612,807.05","£109,055.81","£116,650.93","£3,905,538.17","£2,147,880.63","£25,288,703.84","£4,789,719.00",0.00,"£4,789,719.00","£30,078,422.84"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,6,5.80,5,4.80,0,0.00,1,1.00,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£57,190.74",£166.67,"£3,000.00",£560.01,"£12,549.56","£6,811.32","£80,278.30",£0.00,£0.00,£0.00,"£80,278.30"
Crown Commercial Services,Executive Agency,Cabinet Office,26,24.50,99,93.08,303,292.12,189,178.96,23,21.00,0,0.00,640,610,39,39,0,0,0,0,0,0,39,39,679,649,"£2,056,651.66","£31,351.43",£0.00,£0.00,"£410,193.62","£227,761.87","£2,725,958.58","£362,142.49","£55,517.50","£417,659.99","£3,143,618.57"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,78,73.00,436,401.00,247,233.00,69,68.00,16,16.00,0,0.00,846,791,37,37,0,0,6,2.5,0,0,43,39.5,889,831,"£1,978,713.99","£26,589.48",£0.00,"£12,791.10","£402,729.61","£200,333.54","£2,621,157.72","£77,389.13",£0.00,"£77,389.13","£2,698,546.85"
