Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Cabinet Office,Ministerial Department,Cabinet Office,178,172.2,307,298.28,470,460.92,695,682.25,222,216.61,184,180.94,"2,056","2,011",4,3.75,226,224.1,12,12,29,22.5,271,262.35,"2,327","2,274","£7,066,465.48","£355,369.77","£67,674.70","£86,114.61","£1,548,610.13","£714,063.62","£9,838,298.31","£3,677,190.00","£2,160,173.00","£5,837,363.00","£15,675,661.31",,
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.56,6,6,5,4.8,4,4,1,1,1,1,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£54,324.72",£795.00,£0.00,£0.00,"£10,947.83","£4,774.14","£70,841.69",£0.00,£0.00,£0.00,"£70,841.69",,
Government Procurement Service,Executive Agency,Cabinet Office,29,27.6,73,70.1,193,188.8,120,118.9,6,6,0,0,421,411,15,15,12,12,0,0,0,0,27,27,448,438,"£1,302,306.58","£6,176.55",£0.00,£951.83,"£254,547.29","£116,761.29","£1,680,743.54","£47,622.83",,"£47,622.83","£1,728,366.37",,
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,106,100,484,452,258,244,90,87,19,19,0,0,957,902,66,66,0,0,6,2.5,0,0,72,68.5,"1,029",971,"£2,265,805.29","£51,222.59",£0.00,"£33,521.08","£428,859.89","£194,980.75","£2,974,389.60","£168,451.20",£0.00,"£168,451.20","£3,142,840.80",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
