Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,258,246.00422,706,688.27329,2126,2074.97317,1072,1039.14525,141,135.3048,46,45.28649,4349,4228.98722,40,40,12,11.4,240,235.26,2,0.4,294,287.06,4643,4516.04722,15512571.41,503096.74,130305.39,54169.51,4077753.05,1653162.52,21931058.62,3841567.49,102303.5,3943870.99,25874929.61,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,141,129.11354,73,69.36676,78,75.69729,12,9.35135,2,2,0,0,306,285.52894,0,0,0,0,0,0,0,0,0,0,306,285.52894,753605.01,0,0,0,0,0,753605.01,0,0,0,753605.01,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10041,8703.03266,2512,2351.21566,2424,2251.69104,596,580.56779,76,75.2973,1,0.86486,15650,13962.66931,0,2282.06,0,0,0,49.1,0,0,0,2331.16,15650,16293.82931,28850682.84,402648.16,659299.25,882390.24,7945651.1,2981066.21,41721737.8,6684161.08,745482.7,7429643.78,49151381.58,None
Legal Aid Agency,Executive Agency,Ministry of Justice,476,442.18367,325,304.23844,293,282.23726,90,89.45195,11,9.55,0,0,1195,1127.66132,30,30,0,0,0,0,0,0,30,30,1225,1157.66132,3096457.82,30734.13,33115,26860.74,693760.39,281610.66,4162538.74,56221.31,0,56221.31,4218760.05,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28723,27335.26977,6353,6095.00595,6084,5811.44718,663,647.98278,63,62.49459,10970,10103.76511,52856,50055.96538,1415.76,1415.76,0,0,1.2,1.2,1.84,1.84,1418.8,1418.8,54274.8,51474.76538,113357942.8,12937738.73,252954.76,7529335.54,32381111.18,13121801.33,179580884.4,4865307.55,148880.25,5014187.8,184595072.2,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,869,792.5603,405,386.06377,158,152.02999,23,22.5,4,4,0,0,1459,1357.15406,218,201.9,0,0,0,0,0,0,218,201.9,1677,1559.05406,3014808.83,28089.59,51263,146445.92,493268.93,289173.06,4023049.33,368373.65,0,368373.65,4391422.98,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,1947,1767.42,1947,1767.42,65,65,0,0,0,0,0,0,65,65,2012,1832.42,7811543.47,0,0,0,0,0,7811543.47,446878.18,0,446878.18,8258421.65,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,84,78.68,84,78.68,0,0,0,0,0,0,0,0,0,0,84,78.68,360723,0,675,0,0,0,361398,0,0,0,361398,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,16,15.2,39,38.4,8,7.6,1,1,1,0.4,68,65.4,8,8,0,0,0,0,2,1.1,10,9.1,78,74.5,211517.32,2843.47,5800,1027.74,51356.32,23490.63,296035.48,99165.3,3024,102189.3,398224.78,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,34,27.91,34,27.91,0,0,0,0,0,0,0,0,0,0,34,27.91,200602,0,0,0,0,0,200602,0,2889,2889,203491,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,10,9.1,78,75.8,34,33.7,8,7.8,1,1,0,0,131,127.4,6,6,0,0,0,0,0,0,6,6,137,133.4,319675.19,2442.89,275,6871.46,101624.83,44103,474992.37,48563.49,0,48563.49,523555.86,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,5,4.1,13,12.4,40,38.02,35,33.1,2,2,0,0,95,89.62,1,0.6,0,0,0,0,0,0,1,0.6,96,90.22,304309.99,5740.97,-50,0,68925.11,27787.55,406713.62,0,0,0,406713.62,None
