,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",98,93.51,416,406.33,1858,1826.86,1991,1932.84,273,260.68,91,65.88,4727,4586.10,8,8.00,35,28,8,2.26,0,0.00,51,38.26,"4,778","4,624","£16,876,190.20","£750,067.67","£146,290.00","£167,452.87","£4,775,668.17","£2,011,312.00","£24,726,980.91","£873,932.00","£4,754,317.00","£5,628,249.00","£30,355,229.91",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",41,34.93,302,282.31,549,508.54,52,47.82,6,6.00,0,0,950,879.60,26,26.00,6,6,,,13,13.00,45,45.00,995,925,"£2,365,516.77","£25,176.32","£5,500.00","£14,111.38","£632,259.19","£240,404.82","£3,282,968.48",,,£0.00,"£3,282,968.48",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1359,1331.20,149,144.65,28,26.80,0,0.00,0,0.00,0,0,1536,1502.65,0,0.00,0,0,0,0.00,0,0.00,0,0.00,"1,536","1,503","£4,768,414.68","£114,593.05","£19,819.22","£284,213.84","£885,870.90","£572,195.69","£6,645,107.38",,,£0.00,"£6,645,107.38",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.40,28,27.00,161,157.70,54,53.40,2,2.00,0,0,259,252.50,5,5.00,0,0,0,0.00,0,0.00,5,5.00,264,258,"£813,672.15","£15,182.80","£683,422.92",£0.00,"£220,744.83","£182,114.18","£1,915,136.88","£45,914.98",£0.00,"£45,914.98","£1,961,051.86",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,9,8.27,19,17.23,6,5.30,0,0,36,32.80,0,0.00,0,0,0,0.00,0,0.00,0,0.00,36,33,"£159,001.00",£0.00,£0.00,£0.00,"£40,247.00","£23,903.00","£223,151.00",£0.00,£0.00,£0.00,"£223,151.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",448,390.54,274,258.16,270,259.76,65,64.04,6,6.00,0,0,1063,978.50,7,7.00,0,0,38,38.00,0,0.00,45,45.00,"1,108","1,024","£2,369,856.33","£29,833.37",£0.00,"£13,963.41","£644,289.51","£224,660.75","£3,282,603.37","£16,294.11","£439,114.45","£455,408.56","£3,738,011.93",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,0,0.00,1,1,18,17.72,0,0.00,0,0,0,0.00,2,2.00,2,2.00,20,20,"£72,950.71",£216.66,£0.00,£0.00,"£20,381.87","£8,278.75","£101,827.99",£0.00,"£4,200.00","£4,200.00","£106,027.99",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1661,1576.60,2160,1870.34,1869,1668.15,249,230.88,21,20.92,0,0,5960,5366.89,0,0.00,24,24,0,0.00,0,0.00,24,24.00,"5,984","5,391","£12,834,922.03","£257,178.00",£0.00,"£119,742.36","£3,467,314.04","£9,820,339.82","£26,499,496.25","£95,478.18","-£68,027.23","£27,450.95","£26,526,947.20",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",580,545.43,189,179.15,776,742.73,137,134.02,10,10.00,0,0,1692,1611.33,54,54.00,0,0,9,9.00,0,0.00,63,63.00,"1,755","1,674","£4,342,021.76","£16,583.45","£108,775.00","£5,332.77","£1,182,888.70","£460,177.16","£6,115,778.84","£844,271.95",£0.00,"£844,271.95","£6,960,050.79",,,
