Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,321,297.95,532,517.16,1079,1055.71,1669,1637.67,393,382.83,2252,2242.21,"6,246","6,134",11,11,58,55.1,126,122.4,0,0,195,188.5,"6,441","6,322","£21,892,288.81","£718,399.51","£83,589.00","£137,011.00","£4,531,366.81","£2,550,305.63","£29,912,960.76","£5,452,311.73",£0.00,"£5,452,311.73","£35,365,272.49"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.80,5,4.80,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£58,340.67",£166.67,£0.00,£0.00,"£12,707.00","£6,330.24","£77,544.58",£0.00,£0.00,£0.00,"£77,544.58"
Crown Commercial Services,Executive Agency,Cabinet Office,21,20.07,94,89.59,295,285.50,190,185.64,21,20.97,0,0.00,621,602,56,56,0,0,0,0,0,0,56,56,677,658,"£1,906,567.48","£50,817.19",£0.00,£223.25,"£402,125.43","£210,777.51","£2,570,510.86","£393,649.40","£143,953.46","£537,602.86","£3,108,113.72"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,81,75.00,455,421.00,242,229.00,71,70.00,18,18.00,0,0.00,867,813,4,4,0,0,5,3.5,0,0,9,7.5,876,821,"£2,116,105.61","£26,558.66",£0.00,"£8,211.71","£430,391.07","£220,110.26","£2,801,377.31","£47,106.78",£0.00,"£47,106.78","£2,848,484.09"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,17,16.44,27,26.28,51,50.39,8,8.00,0,0.00,104,102,0,0,0,0,14,14,0,0,14,14,118,116,"£387,174.00","£9,703.00","£2,157.00",£302.00,"£84,313.00","£44,552.00","£528,201.00","£157,485.53",£0.00,"£157,485.53","£685,686.53"
