Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,508,494.4,671,653.4,1613,1600,1201,1166,367,364.6,,,4360,4278.4,99,99,,,29,28.42,3,3,131,130.42,4491,4408.82,12884777.8,913665.09,15996.24,209476.36,2714280.21,1152631.55,17890827.25,515051.46,72371.94,587423.4,18478250.65,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,30,26.41,24,22.4,14,12.66,8,8,1,1,5,5,82,75.47,1,1,,,,,,,1,1,83,76.47,164047,9428,0,1168,34315,16043,225001,1337,,1337,226338,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,27,26.66,240,234.25,859,837.11,322,318.59,79,78,,,1527,1494.61,87,85.82,103,95.74,,,,,190,181.56,1717,1676.17,4739701.67,1318731.83,2272204.72,27643.94,1044333.78,692360.79,10094976.73,489015.25,,489015.25,10583991.98,The British Council processed its annual pay award in August 2016 - hence the spike in non-consolidated performance payments
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7,7,1,1,1,1,,,9,9,,,,,,,,,0,0,9,9,29474.22,649.98,,,2487.84,3172.42,35784.46,,,0,35784.46,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,7,7,13,13,5,5,2,2,,,27,27,2,2,,,,,,,2,2,29,29,101067.82,,,,15939.62,10336.42,127343.86,5867,,5867,133210.86,
FCO Services,Executive Agency,Foreign and Commonwealth Office,127,124.69,173,168.75,436,421.53,125,124.8,7,6.57,0,0,868,846.34,62,61.59,12,12,142,140.8,0,0,216,214.39,1084,1060.73,2356934.61,546008.16,1270424,198071.02,508672.94,423303.88,5303414.61,1666299.25,0,1666299.25,6969713.86,
Department for International Trade,Ministerial Department,Foreign and Commonwealth Office,3,3,2,2,62,62,78,78,21,21,,,166,166,,,,,,,,,0,0,166,166,687538.87,10061.01,1000,,150315.92,23717.67,872633.47,,,0,872633.47,
