Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,549,510.2,825,800.66,1961,1926.02,2648,2597.93,474,466.31,2790,2775.41,"9,247","9,077",42,42,137,137,293,293,472,472,"9,719","9,549","£35,258,748.25","£1,393,658.16","£407,877.04","£556,421.23","£9,011,187.63","£4,260,566.65","£50,888,458.96","£3,575,657.95","£54,464,116.91",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,10,10,3,2.8,7,6.93,0,0,1,1,22,21,0,0,0,0,0,0,0,0,22,21,"£69,227.25","£3,295.73",£103.00,£0.00,"£20,883.31","£7,876.43","£101,385.72",£0.00,"£101,385.72",
Crown Commercial Services,Executive Agency,Cabinet Office,25,24,100,96.2,423,408,184,181.6,22,22,0,0,754,732,0,0,62,62,0,0,62,62,816,794,"£2,327,211.98","£42,565.58",£735.23,£723.63,"£622,527.50","£250,522.96","£3,244,286.88","£544,426.35","£3,788,713.23",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,20,19,463,428,252,239,68,67,18,17,0,0,821,770,42,36,0,0,6,5,48,41,869,811,"£2,150,931.56","£45,824.01",£487.00,"£3,908.26","£550,816.99","£221,386.48","£2,973,354.30","£132,723.58","£3,106,077.88",
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,18,17.29,71,69.34,98,96.5,18,18,0,0,208,204,22,21.6,0,0,0,0,22,21.6,230,225,"£848,135.00","£36,002.00","£4,614.00",£0.00,"£239,219.00","£102,306.00","£1,230,276.00","£354,412.37","£1,584,688.37",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,13,12,118,112.8,63,58.5,13,12.9,0,0,208,197,1,1,0,0,0,0,1,1,209,198,"£728,528.00","£12,497.00","£2,005.00",£459.00,"£203,100.00","£80,163.00","£1,026,752.00","£2,500.00","£1,029,252.00",
