Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
HM Treasury,Ministerial Department,HM Treasury,108,101.6,146,136.94,412,407.06,372,358.86,103,99.33,30,28.46,"1,171","1,132",7,6.2,0,0,33,29.4,11,7,51,42.6,"1,222","1,175","£3,729,343.51","£58,288.13","-£1,800.00","£11,562.77","£730,369.47","£336,801.54","£4,864,565.42",,,£0.00,"£4,864,565.42",
Debt Management Office,Executive Agency,HM Treasury,0,0,0,0,0,0,0,0,1,1,106,100.06,107,101,0,0,0,0,15,15,0,0,15,15,122,116,"£375,564.40",£24.28,"£31,147.54","£8,475.73","£78,630.74","£37,211.19","£531,053.88",,,£0.00,"£531,053.88",
Asset Protection Agency,Executive Agency,HM Treasury,0,0,3,2.6,9,8.6,12,11.2,15,14.6,0,0,39,37,0,0,1,1,0,0,0,0,1,1,40,38,"£275,237.51","£3,064.00",£0.00,£0.00,"£8,189.10","£36,343.77","£322,834.38",,,£0.00,"£322,834.38",APA recharge all costs - cost figures are Accrual based 
Office for Budget Responsibility,Crown Non Departmental Public Body,HM Treasury,2,2,0,0,8,8,6,6,1,1,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,17,"£78,625.27",£821.51,£0.00,£0.00,"£13,858.15","£7,974.52","£101,279.45",,,£0.00,"£101,279.45",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
