Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,326,303.17,600,582.99,1316,1288.72,2133,2090.1,364,357.09,2674,2660.77,"7,413","7,283",51,49.23,326,324.77,188,182.91,565,556.91,"7,978","7,840","£27,394,682.65","£1,138,813.32","£240,714.25","£78,669.66","£7,124,038.09","£3,252,683.29","£39,229,601.26","6,466,290.60","£45,695,891.86"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,5,5,6,5.8,6,5.93,0,0,1,1,19,18,0,0,0,0,0,0,0,0,19,18,"£63,900.12","£1,305.57",£0.00,£0.00,"£18,165.36","£7,113.13","£90,484.18",£0.00,"£90,484.18"
Crown Commercial Services,Executive Agency,Cabinet Office,22,22,101,94,340,327,153,145,23,22,0,0,639,610,0,0,52,51.6,0,0,52,51.6,691,662,"£1,924,752.19","£44,268.48","£11,982.52",£0.00,"£515,187.76","£211,232.41","£2,707,423.36","£404,919.50","£3,112,342.86"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,29,28,473,441,241,229,72,71,18,18,0,0,833,787,4,4,0,0,2,1.5,6,5.5,839,793,"£2,143,963.80","£57,462.76",£0.00,"£7,705.68","£634,971.35","£276,811.23","£3,120,914.82","£23,818.80","£3,144,733.62"
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,19,18.29,49,48.06,68,67.24,13,13,0,0,152,149,0,0,0,0,7,7,7,7,159,156,"£587,333.00","£9,542.00","£6,185.00",£103.00,"£164,209.00","£68,063.00","£835,435.00","£277,940.45","£1,113,375.45"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0,14,13.6,109,104,65,61,11,10.2,0,0,199,189,4,4,2,2,0,0,6,6,205,195,"£677,543.44","£13,705.00",£0.00,£316.00,"£190,402.80","£74,080.00","£956,047.24","£35,013.00","£991,060.24"
