,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",97,92.51,417,407.66,1853,1821.98,1972,1913.23,269,257.14,97,70.88,4705,4563.40,11,11.00,0,0,38,30.00,8,2.26,57,43.26,"4,762","4,607","£16,738,453.62","£754,948.90","£60,365.00","£156,358.86","£4,721,549.85","£1,977,732.24","£24,409,408.47","£1,079,908.00","£957,459.00","£2,037,367.00","£26,446,775.47",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",48,42.04,298,278.30,552,512.68,51,46.82,6,6.00,0,0,955,885.84,24,24,7,7,0,,15,15.00,46,46.00,"1,001",932,"£2,842,327.16","£20,687.61","£28,025.00","£14,355.91","£767,031.56","£306,747.95","£3,979,175.19",£0.00,£0.00,£0.00,"£3,979,175.19","In May 2020 the staff headcount was overstated by 1 and FTE was overstated by 1.24. The total staff cost was undertated by £758,305.29",,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1378.3,1351.60,140,135.80,28.8,28.80,0,0.00,0,0.00,0,0,1547.1,1516.20,0,0,0,0,0,0,0,0,0,0.00,"1,547","1,516","£4,689,388.67","£121,385.75","£20,336.42","£573,674.79","£875,548.38","£601,216.34","£6,881,550.35",£0.00,£0.00,£0.00,"£6,881,550.35",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.40,28,27.00,161,157.70,54,53.40,2,2.00,0,0,259,252.50,5,5.00,0,0,0,0.00,0,0.00,5,5.00,264,258,"£795,774.63","£15,969.69","£8,188.51",£0.00,"£223,744.04","£86,378.81","£1,130,055.68","£39,860.47",£0.00,"£39,860.47","£1,169,916.15",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,8,8.00,20,17.23,6,5.30,0,0,36,32.53,0,0,0,0,0,0,0,0,0,0.00,36,33,"£149,022.00",£0.00,£0.00,£0.00,"£40,921.00","£17,125.00","£207,068.00",,,£0.00,"£207,068.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",447,390.09,275,259.06,271,261.22,60,58.53,6,6.00,0,0,1059,974.90,7,7.00,0,0,38,38.00,0,0.00,45,45.00,"1,104","1,020","£2,349,931.44","£22,040.79",£0.00,"£10,674.35","£635,450.85","£221,242.18","£3,239,339.61","£17,792.96","£431,524.34","£449,317.30","£3,688,656.91",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,0,0.00,1,1,18,17.72,0,0.00,0,0,0,0.00,2,2.00,2,2.00,20,20,"£72,950.71",£216.66,£0.00,£0.00,"£20,381.87","£8,278.75","£101,827.99",£0.00,"£1,275.00","£1,275.00","£103,102.99",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1648,1564.39,2160,1870.47,1872,1670.96,245,227.51,20,19.92,0,0,5945,5353.25,0,0.00,24,24,0,0.00,0,0.00,24,24.00,"5,969","5,377","£12,828,449.43","£257,365.04",£0.00,"£154,549.82","£3,462,062.04","£9,905,523.25","£26,607,949.58","£82,907.59","£163,682.89","£246,590.48","£26,854,540.06",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",572,537.74,193,182.20,773,740.11,136,133.02,10,10.00,0,0,1684,1603.07,62,62.00,0,0,9,9.00,0,0.00,71,71.00,"1,755","1,674","£4,319,475.97","£13,632.04",£0.00,"£10,683.26","£1,176,365.49","£443,058.28","£5,963,215.04","£597,661.61",£0.00,"£597,661.61","£6,560,876.65",,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",197,181.90,358,332.93,430,413.50,318,299.64,26,25.86,0,0,1329,1253.83,33,33,0,0,51,51,0,0,84,84.00,"1,413","1,338","3,889,142","154,986","49,157","103,939","1,117,410","444,686","£5,759,318.99","545,022",£0.00,"£545,021.52","£6,304,340.51",,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2102,1998.5,2102,1998.50,0,0.00,0,0,138,137.90,16,5.00,154,142.90,"2,256","2,141","£6,322,013.62","£97,866.84",£0.00,£0.00,"£708,952.13","£1,750,424.29","£8,879,256.88","£1,126,319.29","-£8,175.00","£1,118,144.29","£9,997,401.17",,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,302,291.2,302,291.20,8,7.59,48,47.4,0,0,0,0,56,54.99,358,346,"£1,724,545.49","£64,109.61",£0.00,£630.49,"£455,263.11","£216,021.41","£2,460,570.11",£0.00,"£242,142.77","£242,142.77","£2,702,712.88",,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",67,61.95,171,167.86,692,680.20,251,240.95,14,13.30,77,77,1272,1241.26,0,0.00,0,0,370,370.00,0,0.00,370,370.00,"1,642","1,611","£4,834,176.34",£0.00,"£192,868.95","£14,016.56","£825,033.61","£569,246.71","£6,435,342.17","£2,003,622.28",£0.00,"£2,003,622.28","£8,438,964.45",,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,13,13.00,111,108.70,106,104.80,11,10.80,0,0,242,238.30,,,,,,,,,0,0.00,242,238,"£886,265.29","£19,799.14","£22,850.00",£0.00,"£245,032.66","£104,180.25","£1,278,127.34","£6,893.65","£259,041.95","£265,935.60","£1,544,062.94",,,
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",507,458.97,1076,1021.60,3771,3639.04,1187,1141.40,207,196.67,234,227.78,6982,6685.46,106,106,68,68,76,76,0,0,250,250.00,"7,232","6,935","£21,682,501.20","£1,072,006.54","£49,188.69","£47,295.62","£5,264,290.14","£2,397,930.40","£30,513,212.59","-£917,286.31","-£52,992.91","-£970,279.22","£29,542,933.37",,,
