Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,172,165.86,312,303.82,482,472.84,759,747.27,235,231,173,169.87,"2,133","2,091",15,14.05,249,249,10,9.05,7,7,281,279.1,"2,414","2,370","£7,387,562.57","£387,194.16","£38,500.00","£97,427.23","£1,624,244.77","£743,062.70","£10,277,991.43","£2,613,584.00","£628,118.00","£3,241,702.00","£13,519,693.43",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,3,3,1,1,1,1,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£41,283.62",£545.00,£0.00,£0.00,"£8,003.24","£3,506.37","£53,338.23",£0.00,£0.00,£0.00,"£53,338.23",
Crown Commercial Services,Executive Agency,Cabinet Office,47,45.8,91,87,275,268.9,174,172.2,36,35.7,0,0,623,610,16,16,23,23,0,0,0,0,39,39,662,649,"£2,018,572.57","£156,462.52",£0.00,£0.00,"£427,073.73","£197,052.58","£2,799,161.40","£157,718.94","£19,055.35","£176,774.29","£2,975,935.69",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,105,99,491,457,247,234,80,77,19,19,0,0,942,886,42,42,0,0,4,3.5,0,0,46,45.5,988,932,"£2,672,020.45","£43,856.88",£0.00,"£19,809.59","£378,421.94","£157,919.26","£3,272,028.12","£170,822.40",£0.00,"£170,822.40","£3,442,850.52",
