Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,149,143.83,383,374.37,694,679.62,1160,1139.10,288,280.95,209,205.60,"2,883","2,823",15,14.2,113,105.35,133,124.8,0,0,261,244.35,"3,144","3,068","£11,044,654.00","£419,366.00","£32,100.00","£71,408.00","£2,418,948.00","£1,325,789.00","£15,312,265.00","£6,081,706.00","£392,811.00","£6,474,517.00","£21,786,782.00"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,5,5.00,7,6.60,5,5.00,0,0.00,1,1.00,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£59,734.00",£0.00,£0.00,£0.00,"£13,048.00","£6,553.00","£79,335.00",£0.00,£0.00,£0.00,"£79,335.00"
Crown Commercial Services,Executive Agency,Cabinet Office,23,22.59,108,103.77,321,309.57,216,209.15,47,45.00,0,0.00,715,690,26,26,0,0,0,0,0,0,26,26,741,716,"£2,500,173.08","£32,192.06",£0.00,£0.00,"£508,271.30","£282,638.34","£3,323,274.78","£328,433.70","£508,695.65","£837,129.35","£4,160,404.13"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,92,86.00,441,403.00,246,229.00,72,70.00,18,18.00,0,0.00,869,806,12,12,0,0,1,1,0,0,13,13,882,819,"£1,988,729.00","£32,043.43","£220,911.28","£7,086.36","£401,005.51","£228,760.13","£2,878,535.71","£30,520.92",£0.00,"£30,520.92","£2,909,056.63"
