Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,143,139.10,408,400.42,725,711.99,1086,1066.57,249,243.63,174,170.88,"2,785","2,733",1,1,116,116,93,93,3,3,213,213,"2,998","2,946","£9,888,411.00","£453,056.57","£46,733.00","£103,377.15","£2,210,074.07","£1,193,668.47","£13,895,320.26","£2,807,425.15","£780,818.35","£3,588,243.50","£17,483,563.76"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,2,2.00,7,6.60,5,5.00,0,0.00,0,0.00,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£46,376.63",£416.67,£250.00,£0.00,"£10,043.76","£5,092.68","£62,179.74",£0.00,£0.00,£0.00,"£62,179.74"
Crown Commercial Services,Executive Agency,Cabinet Office,28,26.09,115,111.47,339,328.38,210,202.61,68,64.71,0,0.00,760,733,0,0,54,52.05,0,0,0,0,54,52.05,814,785,"£2,746,965.37","£3,904.30",£0.00,£0.00,"£557,868.51","£309,124.61","£3,617,862.79","£689,276.21","£176,386.12","£865,662.33","£4,483,525.12"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,101,96.00,449,412.00,247,232.00,71,69.00,20,20.00,0,0.00,888,829,18,18,0,0,3,1,0,0,21,19,909,848,"£1,998,937.34","£31,482.86",£0.00,"£26,721.72","£406,872.65","£221,517.23","£2,685,531.80","£66,700.20",£0.00,"£66,700.20","£2,752,232.00"
