Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,
Cabinet Office,Ministerial Department,Cabinet Office,539,502.35,872,846.85,2185,2145.77,3059,3001.55,469,462.93,2333,2318.28,"9,457","9,278",43,33.76,48,46.67,224,218.62,315,299.05,"9,772","9,577","£36,105,575.70","£1,484,774.92","£84,665.38","£283,415.46","£9,179,547.35","£4,277,963.43","£51,415,942.24","£3,488,427.73","£54,904,369.97",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,10,10.00,4,3.60,6,5.93,1,0.50,0,0.00,22,21,0,0,0,0,0,0,0,0,22,21,"£67,428.28","£2,793.79",£0.00,£0.00,"£19,425.74","£7,396.70","£97,044.51",£0.00,"£97,044.51",
Crown Commercial Services,Executive Agency,Cabinet Office,23,22.00,114,110.40,430,416.70,195,192.60,26,26.00,0,0.00,788,768,0,0,43,43,0,0,43,43,831,811,"£2,443,830.23","£61,404.13",£0.00,£0.00,"£652,389.79","£264,413.79","£3,422,037.94","£362,786.69","£3,784,824.63",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,19,18.00,447,412.00,251,238.00,71,69.00,20,19.00,0,0.00,808,756,23,22,0,0,8,5,31,27,839,783,"£2,103,035.91","£45,843.36","£199,908.13",£604.79,"£538,473.39","£240,720.80","£3,128,586.38","£133,836.76","£3,262,423.14",
Government Property Agency,Executive Agency,Cabinet Office,3,2.75,18,17.60,69,67.62,107,105.41,18,18.00,0,0.00,209,205,24,21.8,0,0,0,0,24,21.8,233,227,"£895,202.00","£30,089.00",£0.00,£571.00,"£246,987.00","£105,736.00","£1,278,585.00","£396,343.91","£1,674,928.91",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,16,14.30,110,106.30,62,57.80,11,10.90,0,0.00,199,189,7,7,0,0,0,0,7,7,206,196,"£669,413.00","£11,175.00",£0.00,£545.00,"£184,905.00","£72,224.00","£938,262.00","£27,085.00","£965,347.00",
