Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,391,379.3,626,613.5,1836,1818.8,1409,1386.6,418,414.9,,,4680,4613.1,50,49.82,,,30,29.42,6,5.78,86,85.02,4766,4698.12,13795556.14,904439.46,26155.57,127498.35,3021170.56,1330603.15,19205423.23,584905.7,133666.94,718572.64,19923995.87,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,38,32.74,28,25.3,9,8.14,10,9.81,1,1,1,0,87,76.99,,,,,,,,,0,0,87,76.99,184182.58,8145.44,,1091.88,39688.34,18323.71,251431.95,,,0,251431.95,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,16,15.67,189,184.62,764,749.53,313,311.6,96,96,,,1378,1357.42,487,380.58,84,81.93,,,,,571,462.51,1949,1819.93,4697054.62,914429.67,2237822.48,22492.96,1035710.99,673232.76,9580743.48,547614.21,,547614.21,10128357.69,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,4.5,4,2,2,1,1,,,7.5,7,,,,,,,,,0,0,7.5,7,23095.03,,,,1270.61,2371.38,26737.02,,,0,26737.02,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,12,12,12,12,14,14,2,2,,,40,40,1,1,,,,,,,1,1,41,41,131059.15,,,,20853.37,12231.33,164143.85,2277,,2277,166420.85,
FCO Services,Executive Agency,Foreign and Commonwealth Office,114,111.97,183,178.64,409,400.9,186,166.55,7,5.02,58,58,957,921.08,41,41,7,7,156,151.9,4,4,208,203.9,1165,1124.98,2533627.91,480377.78,4870,235708.31,531976.3,282263.58,4068823.88,1915847.16,0,1915847.16,5984671.04,
