Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,576,534.08,767,744.55,1840,1803.74,2512,2462.64,436,428.74,2614,2598.54,"8,745","8,572",63,63,93,93,347,347,503,503,"9,248","9,075","£33,305,784.69","£1,159,486.14","£3,323,635.56","£320,988.91","£8,528,501.14","£4,384,040.38","£51,022,436.82","£6,429,284.64","£57,451,721.46",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,9,9,2,1.8,7,6.93,0,0,1,1,20,19,0,0,0,0,0,0,0,0,20,19,"£69,919.97","£2,257.50","£8,424.00",£919.77,"£20,302.78","£9,311.88","£111,135.90",£0.00,"£111,135.90",
Crown Commercial Services,Executive Agency,Cabinet Office,21,20.4,99,93.6,404,386.6,186,176.4,21,21,0,0,731,698,0,0,54,54,0,0,54,54,785,752,"£2,187,231.27","£41,810.98","£10,086.66","£7,602.76","£587,840.36","£237,396.07","£3,071,968.10","£679,643.38","£3,751,611.48",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,18,17,452,418,248,236,67,65,17,16,0,0,802,752,31,31,0,0,13,12,44,43,846,795,"£2,054,014.99","£40,769.66",£0.00,"£2,871.89","£521,616.61","£207,941.72","£2,827,214.87","£150,294.34","£2,977,509.21",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,19,18.29,66,64.66,94,92.74,16,16,0,0,198,194,23,23,0,0,0,0,23,23,221,217,"£759,617.00","£31,198.00","£7,906.00",£0.00,"£215,714.00","£90,660.00","£1,105,095.00","£375,076.36","£1,480,171.36",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,12,12,119,113.8,64,59.33,13,12.89,0,0,209,199,0,0,1,0.2,0,0,1,0.2,210,199,"£770,092.00","£12,538.00","£90,276.00",£39.71,"£215,818.00","£99,911.00","£1,188,674.71","£2,177.00","£1,190,851.71",
