Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department for Culture Media & Sport ,Ministerial Department,"Department for Culture, Media & Sport",10,10,100,98.36666222,227,222.61666,237,231.0099933,49,47.2975,6,6,629,615,7,6.2,6,5.97,38,32.6,3,3,54,47.77,683,663,"£2,151,421.23","£46,309.38","£8,805.96","£4,561.68","£469,473.09","£245,612.78","£2,926,184.12","£449,314.00","£11,782.00","£461,096.00","£3,387,280.12",OCS included for the first time this month.,
National Archives,Executive Agency,"Department for Culture, Media and Sport",135,121.85,116,110.61,279,269.46,58,56.64,7,7,0,0,595,566,3,3,0,0,10,10,0,0,13,13,608,579,"£1,468,689.97","£14,747.46","£2,900.00","£12,584.12","£304,985.08","£153,070.26","£1,956,976.89","£17,838.14",£0.00,"£17,838.14","£1,974,815.03",,
Royal Parks,Executive Agency,"Department for Culture, Media and Sport",22,21.36,40,38.77,31,29.73,25,24.79,3,3,0,0,121,118,22,18.47,0,0,1,0.63,1,0.25,24,19.35,145,137,"£334,335.98","£18,940.40","£3,000.00","£6,869.39","£71,616.41","£36,929.83","£471,692.01","£64,184.00","£2,400.00","£66,584.00","£538,276.01",,
