,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",92,87.51,436,425.46,2059,2029.14,2150,2089.92,290,276.39,98,69.88,5125,4978.30,6,6,,,39,33,7,2.26,52,41.26,"5,177","5,019.56","£18,235,267.91","£939,929.64","£313,300.00","£80,805.60","£5,157,101.03","£2,182,761.38","£26,909,165.56","£592,680.00","£9,396,544.00","£9,989,224.00","£36,898,389.56",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",49,42.79,353,333.19,572,532.54,53,48.56,6,6.00,,,1033,963.08,24,24,4,4,,,14,14,42,42.00,"1,075","1,005.08","£2,529,767.55","£20,866.79","£4,400.00","£10,132.91","£675,962.24","£250,979.94","£3,492,109.43",,,£0.00,"£3,492,109.43",Non Consildate Bonus is due to SCS Bonus,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1431,1403.50,151,146.65,30,28.80,,,,,,,1612,1578.95,,,,,,,,,0,0.00,"1,612","1,578.95","£4,870,238.28","£128,734.95","£22,986.26","£663,676.09","£910,475.80","£638,242.72","£7,234,354.10",,,£0.00,"£7,234,354.10",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.80,26,25.20,164,160.40,58,57.80,2,2.00,0,0,263,257.20,7,7,0,0,0,0,0,0,7,7.00,270,264.20,"£818,128.18","£17,023.54","£1,176.10",£67.05,"£222,872.20","£88,546.02","£1,147,813.09","£73,375.72",£0.00,"£73,375.72","£1,221,188.81",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,13,10.86,18,16.83,5,4.90,0,0,38,34.59,,,,,,,,,0,0.00,38,34.59,"£159,814.00",£0.00,£0.00,£0.00,"£39,811.00","£20,779.00","£220,404.00",,,£0.00,"£220,404.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",448,390.87,278,262.91,280,269.23,69,68.03,6,6.00,0,0,1081,997.04,10,0,0,0,38,0,0,0,48,0.00,"1,129",997.04,"£2,440,505.69","£32,647.87","£22,706.80","£37,700.38","£661,817.38","£239,387.16","£3,434,765.28","£36,819.00","£400,171.00","£436,990.00","£3,871,755.28",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,675.69",£216.66,£0.00,£0.00,"£19,487.53","£7,927.82","£97,307.70",£0.00,"£3,400.00","£3,400.00","£100,707.70",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1614,1526.12,2164,1881.06,1916,1715.57,262,245.36,27,27.00,0,0,5983,5395.11,0,0,44,44,0,0,0,0,44,44.00,"6,027","5,439.11","£13,657,741.11","£214,258.04","£63,370.00","£1,173,969.57","£3,665,485.80","£11,513,798.72","£30,288,623.24","£290,856.78","£193,377.42","£484,234.20","£30,772,857.44",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",571,535.96,198,188.22,773,741.13,144,141.02,9,9.00,0,0,1695,1615.33,73,73,0,0,6,6,0,0,79,79.00,"1,774","1,694.33","£4,374,513.23","£15,712.78","£54,250.00","£9,637.21","£1,172,219.21","£456,908.99","£6,083,241.42","£579,858.41",£0.00,"£579,858.41","£6,663,099.83",,,
