Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",454,398.00,266,255.00,141,137.00,33,32.00,5,4.00,0,0.00,899,826.00,0,0.00,0,0.00,0,0.00,20,20.00,20,20,919,846,"£1,835,288.81","£30,310.88",£150.00,"£25,912.14","£380,094.83","£173,952.06","£2,445,708.72",£0.00,"£207,138.89","£207,138.89","£2,652,847.61",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.72,3,3.00,1,1.00,0,0.00,17,16.72,0,0.00,0,0.00,0,0.00,0,0.00,0,0,17,17,"£58,321.08",£0.00,"£3,250.00",£0.00,"£12,526.41","£6,885.22","£80,982.71",£0.00,£0.00,£0.00,"£80,982.71",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),402,372.11,592,577.89,290,285.16,17,16.60,5,5.00,0,0.00,"1,306","1,256.76",75,58.77,0,0.00,81,45.22,4,4.00,160,108,"1,466","1,365","£3,139,686.00","£166,990.00",£0.00,"£39,492.00","£427,204.00","£311,347.00","£4,084,719.00","£705,567.00","£15,044.00","£720,611.00","£4,805,330.00",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,34,33.59,85,80.62,17,16.72,2,2.00,0,0.00,153,146.47,0,0.00,0,0.00,0,0.00,0,0.00,0,0,153,146,"£400,011.93","£3,711.52","£12,620.00","£1,093.15","£102,220.51","£45,583.05","£565,240.16",£0.00,£0.00,£0.00,"£565,240.16",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),12,12.00,26,25.00,20,20.00,5,5.00,0,0.00,0,0.00,63,62.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,63,62,"£226,475.00","£19,816.00",£0.00,£0.00,"£31,354.00","£30,374.00","£308,019.00",£0.00,£0.00,£0.00,"£308,019.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",67,62.64,41,38.84,156,147.26,31,29.87,4,4.00,0,0.00,299,282.61,0,0.00,0,0.00,1,1.00,0,0.00,1,1,300,284,"£754,064.64","£16,476.70","£4,100.00","£2,751.78","£197,637.71","£75,264.45","£1,050,295.28","£2,417.85",£0.00,"£2,417.85","£1,052,713.13",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",483,450.41,180,172.53,616,587.29,97,95.53,8,8.00,0,0.00,"1,384","1,313.76",41,41.00,0,0.00,7,7.00,0,0.00,48,48,"1,432","1,362","£3,447,415.00","£7,530.00",£0.00,"£20,015.00","£733,716.00","£360,539.00","£4,569,215.00","£380,884.00",£0.00,"£380,884.00","£4,950,099.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",197,176.67,388,367.40,294,286.83,273,256.21,24,24.00,0,0.00,"1,176","1,111.11",10,10.00,0,0.00,17,17.00,0,0.00,27,27,"1,203","1,138","£3,025,580.00","£138,743.00","£6,857.00","£83,811.00","£622,056.00","£345,296.00","£4,222,343.00","£237,074.00",£0.00,"£237,074.00","£4,459,417.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",718,693.49,"2,172","1,893.26","1,728","1,579.31",202,187.30,16,16.00,0,0.00,"4,836","4,369.36",0,0.00,18,18.00,0,0.00,0,0.00,18,18,"4,854","4,387",,"£228,845.49","£666,007.40","£1,224,543.91","£2,342,268.00","£1,351,443.02",5813107.82,"£123,724.65","£27,423.90","£151,148.55","£5,964,256.37",Salary staff data missing
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",219,202.00,339,323.00,928,910.00,128,123.00,85,81.00,30,16.00,"1,729","1,655.00",6,6.00,22,22.00,2,2.00,0,0.00,30,30,"1,759","1,685","£5,592,303.00","£342,642.00",£0.00,"£18,061.00","£747,278.00","£636,364.00","£7,336,648.00","£362,949.00","£18,417.00","£381,366.00","£7,718,014.00",Salary and allowances are higher due to 1% pay award back-dated to 01.04.2016.  The consultancy costs relate to consultancy to advise on the structure of the new Dementia Research Institute
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,093","2,001.10","2,093","2,001.10",24,18.83,0,0.00,46,40.10,0,0.00,70,59,"2,163","2,060","£5,529,512.00","£252,804.00",£0.00,"£145,508.00","£1,224,218.00","£604,680.00","£7,756,722.00","£414,281.00",£0.00,"£414,281.00","£8,171,003.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",234,205.00,414,386.60,"1,207","1,151.30",367,349.00,24,23.20,272,268.80,"2,518","2,383.90",7,6.70,0,0.00,2,2.00,0,0.00,9,9,"2,527","2,393","£6,766,355.49","£358,114.85","£36,450.00","£12,809.91","£1,687,123.66","£716,640.02","£9,577,493.93","£74,258.00","£58,363.94","£132,621.94","£9,710,115.87",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,212,203.44,212,203.44,4,4.00,33,33.00,3,3.00,0,0.00,40,40,252,243,"£1,111,406.00","£64,909.00","£243,154.00",£0.00,"£242,553.00","£172,735.00","£1,834,757.00","£323,216.00",£0.00,"£323,216.00","£2,157,973.00",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",151,144.72,284,273.31,"1,142","1,114.97",396,379.86,38,36.28,53,53.00,"2,064","2,002.14",6,6.00,0,0.00,62,62.00,0,0.00,68,68,"2,132","2,070","£6,113,854.00","£318,844.80","£353,241.10","£85,688.87","£1,668,872.00","£797,003.20","£9,337,503.97","£194,068.36",£0.00,"£194,068.36","£9,531,572.33",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,49.61,92,88.15,412,405.27,147,142.66,10,10.00,25,25.00,739,720.69,5,5.00,0,0.00,356,356.00,0,0.00,361,361,"1,100","1,082","£2,664,638.66",£0.00,"£93,615.57","£65,716.77","£379,718.14","£315,009.78","£3,518,698.92","£1,470,905.49",£0.00,"£1,470,905.49","£4,989,604.41",Allowances included within salary.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),0,0.00,3,2.70,3,2.80,1,1.00,1,1.00,0,0.00,8,7.50,0,0.00,0,0.00,1,0.00,0,0.00,1,0,9,8,"£45,898.84",£0.00,£0.00,£0.00,"£7,132.08","£5,401.16","£58,432.08","£7,446.60",£0.00,"£7,446.60","£65,878.68",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",3,3,4,4,41,38,47,43.95,7,6.3,0,0,102,95,2,2,0,0,8,6,0,0,10,8,112,103,"£316,896.05","£10,270.02",,,"£69,616.02","£36,805.90",433587.99,"£192,202.29",£0.00,192202.29,625790.28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higher Education Funding Council for England (HEFCE) no longer applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Loans Company Ltd (SLC) no longer applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
