Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AA/AO Headcount,"Payroll staff AA/AO Full-time 
equivalent",Payroll Staff EO Headcount,"Payroll staff EO Full-time
equivalent", Payroll Staff HEO/SEO Headcount," Payroll Staff HEO/SEO Full-time 
equivalent", Payroll Staff Grade 6/7 Headcount," Payroll Staff Grade 6/7 Full-time 
equivalent",Payroll Staff SCS Headcount,"Payroll Staff SCS Full-time 
equivalent","Payroll Staff Other, unknown, or unspecified Headcount","Payroll Staff Other, unknown, or unspecified Full-time 
equivalent","Payroll staff Total
Employees Headcount","Payroll staff Total
Employees Full-time 
equivalent",Non payroll staff Agency staff (clerical/admin) Headcount,"Non payroll staff Agency staff (clerical/admin) Full-time 
equivalent",Non Payroll staff Interim Mangers &  Specialist Contractors & Medical: Headcount,Non Payroll staff Interim Mangers &  Specialist Contractors & Medical; Full-time Equivalent,Non Payroll staff other Contingent Labour  Headcount,Non Payroll staff other Contingent Labour  Full-time equivalent,Non-payroll staff; total contingent labour; headcount excludes consultants,Non-payroll staff; total contingent labour; full time equivalent excludes consultants,Non-payroll staff; consultancy; number of suppliers,Grand total (workforce numbers); headcount excludes consultants,Grand total (workforce numbers); full-time equivalent excludes consultants,Payroll staff costs; salary,Payroll staff costs; allowances,Payroll staff costs; non-consolidated performance payments,Payroll staff costs; overtime,Payroll staff costs; employer pension contributions,Payroll staff costs; employer national insurance contributions,Payroll staff costs; total paybill,"Non-payroll staff costs; contingent labour (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff costs; consultants,Non payroll staff costs; total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",332,321.824,662,644.37,3047,3015.69,3401,3329.66,585,579.75,0,0,"8,027",7891.29,85,85,260,260,113,113,458,458,0,"8,485","8,349.29","£35,461,835.24","£2,236,297.91","£23,213.77","£427,032.33","£9,348,505.84","£3,570,034.23","£51,066,919.32"," £4,363,976.42","£40,940.83","£4,404,917.25","£55,471,836.57",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",15,13.36,30,27,26,24.41,12,11.43,4,4,0,0,87,80.2,0,0,0,0,0,0,0,0,0,87,80.2,"£264,453.94","£6,661.28",£0.00,£397.93,"£72,864.95","£28,215.80","£372,593.90",£0.00,£0.00,£0.00,"£372,593.90",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",5,5,115,110.59,591,574.43,299,292.1,109,108.7,0,0,"1,119",1090.82,119,52.91,31,15.83,0,0,150,68.74,0,"1,269","1,159.56","£4,465,507.29","£421,509.94","£3,987.36","£16,303.72","£1,258,253.55","£464,485.25","£6,630,047.11","£3,593,268.24",£0.00,"£3,593,268.24","£10,223,315.35",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,4,4,3,1.93,1,1,0,0,9,7.93,0,0,1,1,0,0,1,1,0,10,8.93,"£33,343.09",£0.00,£0.00,£0.00,"£2,207.07","£3,413.05","£38,963.21","£4,494.21",£0.00,"£4,494.21","£43,457.42",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,10,10,31,31,18,18,3,3,0,0,62,62,1,1,0,0,0,0,1,1,0,63,63,"£244,754.87",£0.00,£0.00,£0.00,"£65,841.26","£28,221.40","£338,817.53",£0.00,£0.00,£0.00,"£338,817.53",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",138,136.76,219,214.83,491,478.78,234,211.61,8,8,82,82,"1,172",1131.98,48,48,168,164.79,0,0,216,212.79,0,"1,388","1,344.77","£3,904,037.09","£653,590.04","£5,000.00","£473,795.80","£1,056,240.84","£478,805.79","£6,571,469.56","£2,237,042.74",£0.00,"£2,237,042.74","£8,808,512.30",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
