Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,472,460.7,622,611.5,1995,1976.6,1464,1442.6,420,416.2,,,4973,4907.6,52,51.8,,,31,30.4,7,6.8,90,89,5063,4996.6,15132782.66,1036497.21,41686.97,102955.05,3215957.23,1459019.6,20988898.72,505488.95,268753.8,774242.75,21763141.47,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,39,35.65,21,20.17,16,14.19,10,9.81,1,1,,,87,80.82,,,,,,,,,0,0,87,80.82,198789.11,8523.61,,8144.56,42866.05,21136.67,279460,,,0,279460,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,16,15.67,185,180.02,777,756.01,326,323.28,98,97.28,,,1402,1372.26,68,67.2,64,62.95,,,,,132,130.15,1534,1502.41,4608300.42,928089.99,2855.75,23830.07,966473.47,406183.13,6935732.83,429900.99,,429900.99,7365633.82,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,1,1,6,5,2,1.125,1,1,,,10,8.125,,,,,,,,,0,0,10,8.125,27423.53,,,,1630.7,2818.88,31873.11,,,0,31873.11,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,11,11,20,20,17,17,2,2,,,50,50,1,1,,,,,,,1,1,51,51,189146.16,,,,31703.16,20161.15,241010.47,569.27,,569.27,241579.74,
FCO Services,Executive Agency,Foreign and Commonwealth Office,119,117.24,201,195.99,411,404,197,177.04,6,6,54,54,988,954.27,39,39,6,6,158,153.9,4,4,207,202.9,1195,1157.17,2554651.52,527547.14,6470,261705.95,546509.17,292665.47,4189549.25,1613360.61,,1613360.61,5802909.86,
