Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff,.,.,.,.,.,.,.,.,.,.,.,.,.,Number of non-payroll staff (contingent labour and consultants/consultancy),.,.,.,.,.,.,.,.,.,Grand Total (workforce numbers),.,Payroll staff costs,.,.,.,.,.,.,Non-Payroll staff (contingent labour/consultancy - CCL) costs,.,.,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
.,.,.,Admin officers/admin assistants,.,Executive Officers,.,Higher Executive Officers/Senior Executive Officers,.,Grade 6/7,.,Senior Civil Service,.,"Other, unknown, or unspecified",.,Total Employees,.,Agency staff (clerical/admin),.,Interim managers,.,Specialist Contractors,.,Consultants/consultancy,.,Total,.,.,.,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions*,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total cost of consultants/consultancy,Total non-payroll (CCL) staff costs,.,.
.,.,.,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,.,.,.,.,.,.,.,.,.,.,.,.
HM Land Registry,Non-Ministerial Department,"Department for Business, Energy and Industrial Strategy",1076,1040.98,2093,1815.02,1803,1634.54,224,207.63,20,19.92,0,0,"5,216","4,718.09",0,0,31,31,0,0,0,0,31,31,"5,247","4,749","£11,208,492.16","£240,439.43",£0.00,"£467,340.66","£2,354,889.98","£1,254,845.43","£15,526,007.66","£204,923.87","£216,997.68","£421,921.55","£15,947,929.21",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*includes apprenticeship levies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
