Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,331,304.02,678,660.24,1488,1459.67,2443,2397.32,429,421.61,2599,2585.46,"7,968","7,828",24,23.86,337,334.5,197,195.41,558,553.77,"8,526","8,382","£29,777,181.36","£1,013,388.09","£177,597.35","£126,212.66","£7,673,896.96","£3,504,544.86","£42,272,821.28","£6,993,157.00","£49,265,978.28",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,5,5,3,2.8,6,5.93,0,0,1,1,16,15,0,0,0,0,0,0,0,0,16,15,"£55,406.48",£440.08,£0.00,£0.00,"£15,622.12","£6,119.23","£77,587.91",£0.00,"£77,587.91",
Crown Commercial Services,Executive Agency,Cabinet Office,25,25,103,96,366,351,156,148,22,21,0,0,672,641,0,0,56,56,0,0,56,56,728,697,"£1,987,128.07","£40,973.25","£3,500.00",£154.30,"£528,279.39","£215,507.94","£2,775,542.95","£515,458.58","£3,291,001.53",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,21,20,467,434,247,235,74,73,9,9,0,0,818,771,2,2,0,0,3,3,5,5,823,776,"£2,150,098.19","£38,457.49",£0.00,"£2,944.85","£533,975.25","£216,248.92","£2,941,724.70","£37,209.74","£2,978,934.44",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,19,18.29,48,47.05,70,68.85,14,14,0,0,154,151,13,13,0,0,10,10,23,23,177,174,"£610,470.96","£16,012.20","£1,500.00",£213.67,"£168,628.80","£72,712.52","£869,538.15","£445,521.74","£1,315,059.89",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,16,15.6,112,107,65,61,11,10,0,0,205,195,9,9,2,2,0,0,11,11,216,206,"£918,253.00","£13,306.00","£88,956.00",£0.00,"£231,426.00","£108,250.00","£1,360,191.00","£92,858.00","£1,453,049.00",
