Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,415,404.56,601,589.31,2077,2057.99,1606,1580.38,438,434.94,,,"5,137","5,067",55,55,0,0,31,30.29,7,6.44,93,91.73,"5,230","5,159","£17,941,110.00","£1,156,241.30","£9,536.00","£181,339.63","£5,002,907.13","£1,703,710.07","£25,994,844.13","£1,720,489.28","£243,579.95","£1,964,069.23","£27,958,913.36",
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,26,23.28,31,28.06,21,19.22,12,11.51,1,1,,,91,83,0,0,0,0,0,0,0,0,0,0,91,83,"£218,012.24","£8,641.84",,£0.00,"£61,034.01","£22,087.44","£309,775.53",£0.00,£0.00,£0.00,"£309,775.53",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,10,10,170,164.56,745,717.16,322,314.48,99,98,,,"1,346","1,304",63,20.93,20,7.3,0,0,0,0,83,28.23,"1,429","1,332","£4,513,567.62","£847,230.18",£0.00,"£8,221.86","£1,279,772.71","£433,789.53","£7,082,581.90","£1,011,612.34",£0.00,"£1,011,612.34","£8,094,194.24",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£29,205.57",,,,"£1,933.30","£3,028.58","£34,167.45",£0.00,£0.00,£0.00,"£34,167.45",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,8,7.6,23,23,18,17.2,3,3,,,52,51,3,3,,,,,,,3,3,55,54,"£195,398.01",,,,"£45,232.33","£21,697.20","£262,327.54","£8,007.10",£0.00,"£8,007.10","£270,334.64",
FCO Services,Executive Agency,Foreign and Commonwealth Office,136,134.19,209,203.91,429,421.92,216,199.59,6,6,63,63,"1,059","1,029",15,14,3,3,112,105.55,0,0,130,122.55,"1,189","1,151","£3,043,523.15","£674,521.26","£22,450.00","£128,420.02","£830,469.70","£336,733.71","£5,036,117.84","£945,109.12",£0.00,"£945,109.12","£5,981,226.96",
