Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,413,402.83,620,608.28,2102,2082.87,1621,1595.88,451,447.73,,,"5,207","5,138",54,53.82,0,0,30,29.29,7,6.44,91,89.55,"5,298","5,227","£17,346,249.23","£1,183,280.54","£2,755.51","£1,175,722.60","£4,838,343.52","£1,863,725.05","£26,410,076.45","£1,768,629.84","£244,558.55","£2,013,188.39","£28,423,264.84",
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,29,25.72,31,28.92,20,18.22,12,11.51,,,,,92,84,0,0,0,0,0,0,0,0,0,0,92,84,"£216,365.10","£8,866.63",,"-£2,028.98","£59,906.15","£21,664.75","£304,773.65",£0.00,£0.00,£0.00,"£304,773.65",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,10,9.96,178,171.08,758,728.65,318,308.72,99,98.99,,,"1,363","1,317",54,16.81,19,5.93,0,0,0,0,73,22.74,"1,436","1,340","£5,564,770.81","£671,060.98",£0.00,"£4,049.36","£1,300,606.93","£389,069.76","£7,929,557.84","£354,408.99",£0.00,"£354,408.99","£8,283,966.83",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,1,1,6,6,3,2.13,1,1,0,0,11,10,0,0,1,1,0,0,0,0,1,1,12,11,"£31,817.84",,,,"£2,085.05","£3,224.88","£37,127.77",£0.00,£0.00,£0.00,"£37,127.77",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,7,6.6,23,23,19,18.2,2,2,,,51,50,3,3,,,,,,,3,3,54,53,"£200,164.12",,,,"£45,130.00","£21,282.03","£266,576.15","£13,923.44",£0.00,"£13,923.44","£280,499.59",
FCO Services,Executive Agency,Foreign and Commonwealth Office,135,133.19,212,206.91,426,419.37,214,196.59,6,6,64,64,"1,057","1,026",17,16.2,3,3,115,109.67,0,0,135,128.87,"1,192","1,155","£3,007,074.49","£548,927.73","£4,000.00","£111,142.50","£821,764.72","£325,603.43","£4,818,512.87","£1,499,090.55",£0.00,"£1,499,090.55","£6,317,603.42",
