Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,168,161.87,295,287.02,469,461.31,744,732.3,233,229,177,173.51,"2,086","2,045",12,11.75,288,288,14,14,7,6,321,319.75,"2,407","2,365","£7,265,913.30","£399,037.06","£36,050.00","£94,242.28","£1,606,084.26","£736,022.29","£10,137,349.19","£3,272,881.00","£994,740.00","£4,267,621.00","£14,404,970.19",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,4,4,1,1,1,1,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£45,687.04",£545.00,£0.00,£0.00,"£8,963.19","£3,925.45","£59,120.68",£0.00,£0.00,£0.00,"£59,120.68",
Crown Commercial Services,Executive Agency,Cabinet Office,39,38.5,99,95.3,248,243,169,167.6,33,32.7,0,0,588,577,8,8,23,23,0,0,0,0,31,31,619,608,"£1,962,174.48","£6,228.74","£6,750.00",£133.55,"£386,757.33","£176,256.79","£2,538,300.89","£174,403.21","£253,604.08","£428,007.29","£2,966,308.18",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,107,101,496,462,245,232,80,77,19,19,0,0,947,891,40,40,0,0,5,3,0,0,45,43,992,934,"£2,088,897.99","£44,340.19",£0.00,"£12,708.31","£377,472.85","£158,776.46","£2,682,195.80","£118,827.60",£0.00,"£118,827.60","£2,801,023.40",
