Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,659,642.3,738,726,1585,1572.4,1199,1174.2,409,406.4,0,0,"4,590","4,521",47,47,,,38,37,6,6,91,90,"4,681","4,611","£12,864,123.90","£993,567.88","£9,954.15","£197,009.82","£2,579,213.18","£947,947.07","£17,591,816.00","£381,373.92","£92,631.97","£474,005.89","£18,065,821.89",The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,33.06,17,15.41,13,11.95,9,9,1,1,4,4,79,74,,,,,,,,,0,0,79,74,"£161,746.00","£10,015.00",£0.00,"£2,083.00","£28,773.00","£12,544.00","£215,161.00","£1,087.00",,"£1,087.00","£216,248.00",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,14,13.67,171,163.51,758,742.44,282,279.26,57,56.2,,,"1,282","1,255",120,118.43,75,72.69,,,,,195,191.12,"1,477","1,446","£4,001,435.76","£926,405.48","£6,566.67","£15,570.28","£820,479.45","£309,750.06","£6,080,207.70","£954,816",,£0.00,"£7,035,023.70",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,2.25,2.25,2,2,1,1,,,5,5,,,,,,,,,0,0,5,5,"£21,051.83",£647.67,,,"£2,652.51","£2,095.93","£26,447.94",,,£0.00,"£26,447.94",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,6,6,9,9,2,2,1,1,,,18,18,,,,,,,,,0,0,18,18,"£61,090.67",,,,"£9,904.37","£5,685.62","£76,680.66",,,£0.00,"£76,680.66",
FCO Services,Executive Agency,Foreign and Commonwealth Office,155,153.03,199,194.31,467,451.72,140,137.82,9,9,0,0,970,946,63,63,12,12,243,243,0,0,318,318,"1,288","1,264","£2,501,249.53","£441,919.81","£596,158.53","£281,669.67","£483,033.66","£308,681.63","£4,612,712.83","£2,317,413.34",£0.00,"£2,317,413.34","£6,930,126.17","No contingent labour costs available, Mar costs used as indicative value"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
