Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence,Ministerial Department,Ministry of Defence,9972,9514.370541,5475,5341.762432,8241,8067.60973,1465,1442.314324,187,185.3054054,11507,11189.39054,36847,35740.75297,58,57,256,256,167,166.1210811,27,27,508,506.1210811,37355,36246.87405,89873000,0,0,2774000,17648000,9245000,119540000,12864000,2708000,15572000,135112000,
Defence Equipment and Support,Ministerial Department,Ministry of Defence,823,783.8264865,1460,1410.591081,5607,5469.286757,1263,1246.511622,127,125.8056757,1149,1141.689189,10429,10177.71081,54,54,325,325,4,4,0,0,383,383,10812,10560.71081,29974000,0,0,697000,6169000,3163000,40003000,9383000,2690000,12073000,52076000,
Defence Science and Technology Laboratory,Executive Agency,Ministry of Defence,160,157.41,228,216.3,1750,1689.74,1578,1503.86,35,31.22,0,0,3751,3598.53,0,0,0,0,163,154.6,0,0,163,154.6,3914,3753.13,11307089.41,92082.43,42250,394921.46,2427849.48,1299397.64,15563590.42,756458.25,0,756458.25,16320048.67,
UK Hydrographic Office,Executive Non-Departmental Public Body,Ministry of Defence,118,115.73,281,266.29,420,417.51,56,55.54,4,4,0,0,879,859.07,19,19,0,0,18,17.2,0,0,37,36.2,916,895.27,2194457,52231,250,58026,468514,230837,3004315,306101,0,306101,3310416,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,63,56.56,65,63.65,23,22.09,8,7,3,3,0,0,162,152.3,1,0.6,0,0,0,0,0,0,1,0.6,163,152.9,343293,4983,0,2766,14050,32925,398017,2482,0,2482,400499,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,9,9,19,18.6,30,28.15,6,6,1,1,0,0,65,62.75,0,0,0,0,3,3,0,0,3,3,68,65.75,190355.37,0,0,0,23718.28,20188.12,234261.77,10184.44,0,10184.44,244446.21,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,220,89.61,70,65.11,44,43.37,0,0,4,4,0,0,338,202.09,1,0.1,0,0,0,0,1,0.4,2,0.5,340,202.59,426156.91,0,0,0,33337.66,29772.19,489266.76,144,1875,2019,491285.76,
Defence Electronics and Components Agency,Executive Agency,Ministry of Defence,73,69.781083,305,296.545946,39,39,12,12,1,1,0,0,430,418.327029,1,1,0,0,0,0,0,0,1,1,431,419.327029,962645.68,28692.92,0,11802.4,205971.84,97803.42,1306916.26,2545,0,2545,1309461.26,
