Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,999,928.98,925,888.41,1634,1588.28,785,762.92,121,119.06,0,0,"4,464","4,287.65",175,168.84,15,15,203,202,0,0,393,385.84,"4,857","4,673.49","£12,228,995.12","£281,697.29","£65,668.32","£115,950.60","£1,640,134.14","£1,783,769.34","£16,116,214.80","£2,439,021.08","£604,316.76","£3,043,337.84","£19,159,552.64",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13529,11826.85,3011,2812.44,2487,2308.65,625,609.78,34,33.97,0,0,"19,686","17,591.69",(..) ,602,0,0,0,0,0,0,0,602,"19,686","18,193.69","£33,732,218.37","£682,426.92","£127,856.87","£396,038.22","£5,779,069.37","£2,297,981.99","£43,015,591.74","£1,381,310.93",(..) ,"£1,381,310.93","£44,396,902.67",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,189,169.69,134,128.62,260,252.08,60,59.33,6,6,0,0,649,615.72,9,8.2,0,0,13,11.4,0,0,22,19.6,671,635.32,"£1,509,713.09","£7,410.09",,"£12,997.09","£266,447.66","£125,675.04","£1,922,242.97","£82,051.98",(..) ,"£82,051.98","£2,004,294.95",
National Offender Management Service,Executive Agency,Ministry of Justice,33628,32074,6101,5839.02,3608,3380.4,610,595.46,38,37.88,0,0,"43,985","41,926.76",(..) ,363.39,0,0,(..) ,17.25,(..) ,4,0,384.64,"43,985","42,311","£96,195,805.61",£0.00,£0.00,"£4,202,968.94","£18,276,404.70","£7,564,405.61","£126,239,584.86","£1,129,253.63",£0.00,"£1,129,253.63","£127,368,838.49",Only Agency FTE available. Agency HC not collected.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,277,262.2,137,129.83,63,61.09,9,8.82,2,1.78,0,0,488,463.72,218,159.97,0,0,0,0,0,0,218,159.97,706,623.69,"£787,357.26","£15,248.27","£4,300.00","£56,592.86","£127,370.66","£54,650.25","£1,045,519.30","£462,581.11",£0.00,"£462,581.11","£1,508,100.41","Agency figure includes adjustment for prior month, when extra 22 started, due to delayed invoices."
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,76,70.04,76,70.04,4,4,3,3,0,0,0,0,7,7,83,77.04,"£198,738.00",£57.00,(..) ,(..) ,"£35,452.00","£16,610.00","£250,857.00","£23,442.00",(..) ,"£23,442.00","£274,299.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,377,354.29,377,354.29,23,22.4,0,0,0,0,0,0,23,22.4,400,376.69,"£773,303.60","£1,300.99",£0.00,"£4,051.00","£140,734.01","£54,864.58","£974,254.18","£28,054.00",(..) ,"£28,054.00","£1,002,308.18",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11,17,16.5,25,24.69,11,10.4,3,3,1,0.4,68,65.99,7,7,0,0,0,0,0,0,7,7,75,72.99,"£176,929.61","£3,137.89",(..) ,(..) ,"£34,389.01","£15,156.78","£229,613.29","£19,551.53",(..) ,"£19,551.53","£249,164.82",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,29,28.8,29,28.8,0,0,0,0,0,0,0,0,0,0,29,28.8,"£137,774.85",(..) ,(..) ,(..) ,"£30,872.10","£16,515.64","£185,162.59",(..) ,(..) ,£0.00,"£185,162.59","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,784,739.11,274,264.21,395,377.45,116,114.27,19,13.2,0,0,"1,588","1,508.24",27,24.83,0,0,80,79.08,0,0,107,103.91,"1,695","1,612.15","£3,676,432.66",(..) ,(..) ,"£93,680.06",(..) ,"£279,666.50","£4,049,779.22","£993,655.61",(..) ,"£993,655.61","£5,043,434.83",
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,20,18.79,45,44.2,15,14.06,5,5,1,1,0,0,86,83.05,7,7,0,0,0,0,0,0,7,7,93,90.05,"£193,041.70","£21,985.00",(..) ,"£4,408.80","£33,556.40","£18,133.80","£271,125.70","£20,505.00",(..) ,"£20,505.00","£291,630.70",
