Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,236,225.34643,725,706.75522,2208,2157.55132,1136,1102.40133,147,141.2248,41,40.28649,4493,4373.56559,20,23,6,6,146,143.06,2,0.4,174,172.46,4667,4546.02559,14639082.86,405135.65,180377.62,104737.33,4135564.02,1684044.88,21148942.36,1564882.93,1146513.66,2711396.59,23860338.95,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,128,116.2903,87,82.21028,80,77.27837,12,8.89189,2,2,0,0,309,286.67084,0,0,0,0,0,0,0,0,0,0,309,286.67084,755012.55,0,0,0,0,0,755012.55,0,0,0,755012.55,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10025,8707.0133,2553,2390.27562,2471,2297.56018,623,606.68998,80,79.2973,1,0.86486,15753,14081.70124,0,2017.28,0,0,0,31.76,0,0,0,2049.04,15753,16130.74124,29734429.02,406947.84,331912.78,598180.54,7998918.6,2804510.57,41874899.35,6415312.18,226116.37,6641428.55,48516327.9,None
Legal Aid Agency,Executive Agency,Ministry of Justice,461,426.06818,331,309.78347,297,286.40121,90,89.45195,12,10.94167,0,0,1191,1122.64648,40,38.72,0,0,0,0,0,0,40,38.72,1231,1161.36648,3209748.06,16953.86,14625,22370.41,692620.85,267362.68,4223680.86,38116.71,0,38116.71,4261797.57,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28544,27114.26151,6063,5823.43708,6175,5894.27154,699,682.05345,69,67.82792,11172,10271.03711,52722,49852.88861,1285.37,1285.37,7,7,1.4,1.4,2,2,1295.77,1295.77,54017.77,51148.65861,113303525.7,12987638.88,397409.85,5994160.51,35454928.68,13513465.01,181651128.6,4531066.71,154902.67,4685969.38,186337098,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,903,823.05763,398,379.7008,173,164.70296,20,20,4,4,0,0,1498,1391.46139,158,145.2,0,0,0,0,0,0,158,145.2,1656,1536.66139,2172829.31,28666.09,32850.06,49524.4,566129.5,189792.91,3039792.27,256425.27,0,256425.27,3296217.54,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2029,1838.930006,2029,1838.930006,50,50,1,1,0,0,0,0,51,51,2080,1889.930006,7981623.71,0,0,0,0,0,7981623.71,403305.54,0,403305.54,8384929.25,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,91,84.95,91,84.95,0,0,0,0,0,0,0,0,0,0,91,84.95,424498,0,830,0,0,0,425328,0,0,0,425328,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,18,17.2,43,42.4,8,7.6,1,1,1,0.4,74,71.4,2,2,0,0,4,4,1,0.1,7,6.1,81,77.5,237714.71,2908.89,2565,0,56721.71,24762.87,324673.18,85163.4,672,85835.4,410508.58,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,34,31.13,34,31.13,0,0,0,0,0,0,0,0,0,0,34,31.13,220490,0,0,0,0,0,220490,0,-2418,-2418,218072,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,8,8,88,84.2,36,36,8,8,1,1,0,0,141,137.2,3,3,0,0,0,0,1,0.6,4,3.6,145,140.8,369659.89,4034.83,4120,346.22,88696.28,39415.05,506272.27,12305.34,300,12605.34,518877.61,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,4,3.1,13,12.4,44,42.97,31,29.98,2,2,0,0,94,90.45,5,4.2,0,0,0,0,0,0,5,4.2,99,94.65,306705.33,3747.52,350,0,89361.88,38805.37,438970.1,9231,0,9231,448201.1,None
