Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,418,406.3,612,599,1784,1767.5,1321,1300.5,412,408.9,,,4547,4482.2,36,36,,,28,27.4,6,5.8,70,69.2,4617,4551.4,13446730.75,905307.35,33906.51,387906.33,2894051.78,1335760.33,19003663.05,365026.05,83787.8,448813.85,19452476.9,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,32,28.14,24,22.61,17,15.04,12,11.8,1,1,7,7,93,85.59,,,,,,,,,0,0,93,85.59,196641,9448,,2543,41620,19601,269853,409,,409,270262,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,20,19.67,189,184.75,780,761.97,318,317.31,85,84.81,,,1392,1368.51,347,338.42,73,73.42,,,,,420,411.84,1812,1780.35,4460219.76,944593.93,0,23722.26,984671.41,422936.65,6836144.01,711514.25,,711514.25,7547658.26,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,6.5,6,2,2,1,1,,,9.5,9,,,,,,,,,0,0,9.5,9,32077.93,,,,2453.37,3335.29,37866.59,,,0,37866.59,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,12,12,13,13,14,14,2,2,,,41,41,,,,,,,,,0,0,41,41,145719.33,,,,25859.74,15745.4,187324.47,,,0,187324.47,
FCO Services,Executive Agency,Foreign and Commonwealth Office,102,99.97,182,178.04,389,380.92,179,159.43,4,4,37,37,893,859.36,46,46,8,8,162,157.9,4,4,220,215.9,1113,1075.26,2374867.7,523894.98,36650,213194.67,500977.5,278642.55,3928227.4,1712860.68,0,1712860.68,5641088.08,
