Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,166,161.64,340,332.35,494,485.5,753,737.97,240,235.4,161,158.42,"2,154","2,111",11,8.1,265,264.9,17,16.05,21,21,314,310.05,"2,468","2,421","£7,470,358.66","£410,794.60","£541,642.84","£123,974.89","£1,640,567.12","£829,646.38","£11,016,984.49","£5,588,730.00","£671,441.00","£6,260,171.00","£17,277,155.49",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,3,3,1,1,1,1,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£41,568.52","£1,114.93","£3,400.00",£0.00,"£8,085.00","£4,082.93","£58,251.38",£0.00,£0.00,£0.00,"£58,251.38",
Crown Commercial Services,Executive Agency,Cabinet Office,49,47,117,113.3,341,335.6,154,152.3,46,46,0,0,707,694,16,16,45,45,0,0,0,0,61,61,768,755,"£2,453,089.75","£6,052.04",£0.00,"£5,159.21","£476,742.75","£224,116.62","£3,165,160.37","£686,688.09","£73,366.45","£760,054.54","£3,925,214.91",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,113,107,484,451,241,228,77,74,19,19,0,0,934,879,28,28,0,0,4,0,0,0,32,28,966,907,"£2,041,715.62","£35,396.23",£0.00,"£10,859.64","£370,723.19","£159,550.00","£2,618,244.68","£107,939.20",£0.00,"£107,939.20","£2,726,183.88",
