Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
2024,March,Department for Energy Security & Net Zero (DESNZ),Ministerial Department,Department for Energy Security & Net Zero (DESNZ),30,29.6,224,216.19,1873,1847.36,2017,1973.89,212,203.52,0,0,4356,4270.56,0,0,93,70.14,0,0,93,70.14,17,4449,4340.7,19684094.78,788495.53,733240,56025.44,5692131.25,2511444.8,29465431.8,266382,2830507,3096889,32562320.8,
2024,March,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),1409,1378.109508,182,175.227558,33,31.69,0,0,0,0,0,0,1624,1585.027066,0,0,4,0,0,0,4,0,0,1628,1585.027066,5640626.03,132904.98,0,854922.19,1146546.19,790114.9,8565114.29,0,0,0,8565114.29,
2024,March,Coal Authority,Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),10,9,26,25.4,238,227.3,101,98.2,3,3,0,0,378,362.9,8,8,0,0,0,0,8,8,0,386,370.9,1309124.8,18055.28,3314.5,3046.47,358232.12,146728.42,1838501.59,67181,0,67181,1905682.59,
2024,March,Committee on Climate Change (CCC),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),0,0,0,0,16,15.9,35,32.92,4,3.9,0,0,55,52.72,0,0,4,3.72,0,0,4,3.72,0,59,56.44,310953,0,0,0,69633,29559,410145,43254,0,43254,453399,
2024,March,Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),0,0,0,0,0,0,0,0,0,0,372,363.77,372,363.77,5.6,6,0,0,56,56,61.6,62,0,433.6,425.77,2364357.89,104669.65,0,90.96,661902.69,301987.9,3433009.09,718169.76,0,718169.76,4151178.85,
2024,March,UKAEA,Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),61,56.74,276,272.65,1030,1011.82,473,457.42,30,29.41,95,94.41,1965,1922.45,0,0,0,0,598,598,598,598,0,2563,2520.45,10873302.95,15183.01,925277.57,111963.84,2021766.55,1328990.55,15276484.47,4565679.29,0,4565679.29,19842163.76,
2024,March,North Sea Transitory Authority (NSTA),Executive non-departmental public body,Department for Energy Security & Net Zero (DESNZ),2,2,7,7,105,101.28,103,99.75,8,8,0,0,225,218.03,2,2,1,0.6,0,0,3,2.6,,228,220.63,1343758.22,13528.61,37100,902.49,391676.18,165232.76,1952198.26,31083.59,0,31083.59,1983281.85,
