Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,241,227.79,515,500.63,872,854.20,1458,1433.66,331,324.48,1817,1810.48,"5,234","5,151",7,7,156,145.9,178,169.9,0,0,341,322.8,"5,575","5,474","£18,268,051.37","£613,175.62","£47,886.93","£97,092.86","£3,868,478.23","£2,123,962.98","£25,018,647.99","£1,622,322.00","£2,019,798.00","£3,642,120.00","£28,660,767.99"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.60,4,4.00,0,0.00,1,1.00,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£55,546.20",£166.67,£0.00,£64.90,"£12,157.20","£6,102.05","£74,037.02",£0.00,£0.00,£0.00,"£74,037.02"
Crown Commercial Services,Executive Agency,Cabinet Office,22,20.50,98,92.08,305,293.87,190,180.99,22,20.00,0,0.00,637,607,38,38,0,0,0,0,0,0,38,38,675,645,"£2,071,674.21","£2,601.34","£7,084.00",£0.00,"£420,476.49","£227,543.22","£2,729,379.26","£397,037.26",£0.00,"£397,037.26","£3,126,416.52"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,84,79.00,368,337.00,233,221.00,82,80.00,16,16.00,0,0.00,783,733,10,10,0,0,4,3.5,0,0,14,13.5,797,747,"£1,885,798.06","£20,418.18",£0.00,"£12,286.71","£384,154.51","£210,040.11","£2,512,697.57","£48,989.41",£0.00,"£48,989.41","£2,561,686.98"
