Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff,.,.,.,.,.,.,.,.,.,.,.,.,.,Number of non-payroll staff (contingent labour and consultants/consultancy),.,.,.,.,.,.,.,.,.,Grand Total (workforce numbers),.,Payroll staff costs,.,.,.,.,.,.,Non-Payroll staff (contingent labour/consultancy - CCL) costs,.,.,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
.,.,.,Admin officers/admin assistants,.,Executive Officers,.,Higher Executive Officers/Senior Executive Officers,.,Grade 6/7,.,Senior Civil Service,.,"Other, unknown, or unspecified",.,Total Employees,.,Agency staff (clerical/admin),.,Interim managers,.,Specialist Contractors,.,Consultants/consultancy,.,Total,.,.,.,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions*,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total cost of consultants/consultancy,Total non-payroll (CCL) staff costs,.,.,
.,.,.,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,.,.,.,.,.,.,.,.,.,.,.,.,
HM Land Registry,Non-Ministerial Department,"Department for Business, Energy and Industrial Strategy",1052,1022.36,2139,1863.54,1776,1612.35,211,195.38,19,18.92,0,0,"5,197","4,712.55",0,0,30,30,0,0,0,0,30,30,"5,227","4,743","£10,931,536.13","£238,357.54",,"£590,978.66","£2,300,027.72","£1,188,960.49","£15,249,860.54","£253,100.91",,"£253,100.91","£15,502,961.45",,"Total monthly cost of consultants/consultancy £-9,627.71 is due to adjustment made to some transactions which were reported as Consultancy but are not"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*includes apprenticeship levies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
