Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,307,287.91,543,528.31,1063,1038.25,1635,1605.07,383,374.56,2304,2293.58,"6,235","6,128",1,1,59,52.7,108,104.5,0,0,168,158.2,"6,403","6,286","£22,052,876.86","£756,204.34","£192,970.00","£181,789.27","£4,621,138.00","£2,602,869.64","£30,407,848.11","4,721,550.42 ",£0.00,"£4,721,550.42","£35,129,398.53"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,4,4.00,7,6.80,5,4.80,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,196.42",£166.67,£0.00,£0.00,"£12,966.24","£6,448.33","£78,777.66",£0.00,£0.00,£0.00,"£78,777.66"
Crown Commercial Services,Executive Agency,Cabinet Office,23,22.07,90,85.54,297,290.86,185,178.61,23,20.97,0,0.00,618,598,29,29,0,0,0,0,0,0,29,29,647,627,"£1,891,805.78","£52,999.90","£7,239.52",£0.00,"£399,811.07","£210,285.80","£2,562,142.07","£173,724.13","£132,504.28","£306,228.41","£2,868,370.48"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,82,76.00,446,413.00,250,236.00,77,76.00,18,17.00,0,0.00,873,818,6,6,0,0,8,5.5,0,0,14,11.5,887,830,"£2,127,266.57","£31,814.32",£0.00,"£5,640.67","£429,802.65","£238,139.95","£2,832,664.16","£38,065.60",£0.00,"£38,065.60","£2,870,729.76"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,17,16.44,29,28.28,52,51.39,9,9.00,0,0.00,108,106,0,0,0,0,7,7,0,0,7,7,115,113,"£419,075.00","£11,024.00","£15,051.00",£259.00,"£93,550.00","£49,538.00","£588,497.00","£77,709.22",£0.00,"£77,709.22","£666,206.22"
