"Main 
department",Organisation,"Annual Paybill 
(delegated grades
for financial year 2015/16)","Headcount 
(delegated grades as at 31 March 2016)","Cost of in-year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an in-year NCPRP,Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount,Value of maximum in-year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an in-year NCPRP for delegated grades,"Cost of end of year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an end of year NCPRP,Delegated grade staff receiving an end of year NCPRP as a % of headcount,Value of maximum end of year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an end of year NCPRP fopr delegated grades,"Overall cost of NCPRP (in-year and end of year) for delegated grades
","Cost of NCPRP as a % of paybill for delegated grades
(%)","Annual SCS Paybill for those SCS on standard contracts
(for financial year 2015/16)","Number of SCS on standard contracts - Headcount 
(as at 31 March 2016)","Cost of NCPRP for SCS standard contract staff
(£s)","Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2015/16
(%)",Number of SCS standard contract staff receiving a NCPRP,SCS standard contract staff receiving a NCPRP as a % of SCS standard contract staff headcount,Value of maximum NCPRP paid to a member of SCS standard contract staff for 2015/16,Median NCPRP for those SCS standard contract staff receiving a NCPRP,"Number of SCS on non-standard contracts - Headcount 
(as at 31 March 2016)",Value of maximum NCPRP paid to a member of SCS non-standard contract staff for 2015/16,Comments
Cabinet Office,Cabinet Office,"£100,633,324",1967,"£257,000",507,25.80%,"£1,000",£500,"£821,583",388,19.70%,"£2,600","£1,800","£1,078,583",1.10%,"£29,517,966",234,"£579,580",2.00%,65,27.80%,"£12,300","£10,000",0,£0,A number of additional SCS awards have been honoured where staff have joined CO from other Government Departments.
Cabinet Office,Crown Commercial Service,"£34,100,817",710,"£31,350",90,12.70%,"£1,000",£350,"£309,650",116,16.30%,"£3,250","£2,100","£341,000",1.00%,"£7,692,211",65,"£110,000",1.40%,11,16.90%,"£10,000","£10,000",0,£0,
