Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,103,97.29,814,788.92,2457,2374.39,1868,1789.67,195,187.63,,,5437,5237.9,96,96,,,169,164.7,,,265,260.7,5702,5498.6,19294535.99,575468.2,155691,103356.57,5261345.64,2266548.95,27656946.35,608569.71,802991.14,1411560.85,29068507.2,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,33,31.39,215,207.36,938,909.38,557,542.9,50,47.49,,,1793,1738.52,1,1,,,5,4.6,,,6,5.6,1799,1744.12,5636738.58,119500.56,95963,2928.39,1641594.75,697920.2,8194645.48,32434.03,66787.8,99221.83,8293867.31,
Teaching Regulation Authority,Executive Agency,Department for Education,10,10,27,26.34,25,23.82,7,6.82,1,1,,,70,67.98,4,4,0,0,0,0,0,0,4,4,74,71.98,164315.52,2754.83,0,0,45823.46,17127.84,230021.65,10501.03,0,10501.03,240522.68,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,17,16.14,66,63.73,33,31.79,5,5,,,121,116.66,,,,,1,1,,,1,1,122,117.66,380549.86,1631.91,15280,2042,102531.38,46048.47,548083.62,38140.24,0,38140.24,586223.86,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,3,0.5,4,4,15,14.4,8,7.6,4,4,,,34,30.5,,,,,,,,,0,0,34,30.5,142413.54,2203.36,,,37907.88,16722.14,199246.92,,,0,199246.92,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,70,63,423,417.7,265,262.1,19,18.8,4,4,1,0.2,782,765.8,6,6,2,2,,,,,8,8,790,773.8,2262517.31,194160.53,0,5028.86,165631.67,240863.07,2868201.44,144970.19,0,144970.19,3013171.63,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,35,34.8,31,29.4,4,4,,,,,80,78.2,,,,,1,0.6,2,0.3,3,0.9,83,79.1,293620,42870,127,0,39535,38165,414317,9000,1517,10517,424834,
Office for Students,Executive Non-Departmental Public Body,Department for Education,17,16.22,11,10.11,195,179.72,143,132.18,37,35.43,,,403,373.66,1,1,,,5,5,,,6,6,409,379.66,1353233.4,18140.82,0,0,363256.83,137464.04,1872095.09,27895.96,,27895.96,1899991.05,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2011,1899.3001,1036,1006.0856,245,239.9345,24,23.8,7,7,0,0,3323,3176.1202,0,0,0,0,84,84,0,0,84,84,3407,3260.1202,6834534.62,168527.15,10917.58,215099.34,1233690.36,647354.81,9110123.86,852603,0,852603,9962726.86,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,2,2,8,8,66,65.8,111,108.52,10,10,,,197,194.32,5,5,,,,,,,5,5,202,199.32,795285.16,,97550,,213967.79,103396.39,1210199.34,25164.07,,25164.07,1235363.41,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,1,1,2,2,55,53.8,58,56.8,,,,,,,,,0,0,58,56.8,319747.3,,,,15036.16,33232.65,368016.11,,,0,368016.11,
