,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",98,93.04,412,402.94,1836,1804.74,1956,1898.28,275,262.69,97,70.88,4674,4532.57,11,11.00,0,0,37,29.00,8,2.26,56,42.26,"4,730","4,575","£16,569,155.26","£734,294.90","£298,315.00","£74,453.18","£4,650,849.27","£1,974,837.99","£24,301,905.60","-£543,080.00","-£73,398.00","-£616,478.00","£23,685,427.60",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,47.04,300,280.10,546,507.18,51,45.82,6,6.00,0,0,956,886.14,22,22,6,6,0,0,18,18.00,46,46.00,"1,002", 932.14 ,"£2,305,005.30","£20,751.39","£15,800.00","£19,834.89","£626,664.53","£232,813.79","£3,220,869.90",£0.00,£0.00,£0.00,"£3,220,869.90","In April 2020 Total staff number Headcount was understated by 49 and FTE was understated by  48.35. The total was over stated by £37,534.48. ",,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1416,1387.00,144,139.25,30,28.80,0,0.00,0,0.00,0,0,1590,1555.05,0,0,0,0,0,0,0,0,0,0.00,"1,590","1,555","£4,644,860.84","£119,658.16","£22,219.48","£677,869.83","£869,935.85","£609,616.03","£6,944,160.19",,£0.00,£0.00,"£6,944,160.19",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.40,28,27.00,163,159.70,54,53.40,2,2.00,0,0,261,254.50,6,5.00,0,0,0,0.00,0,0.00,6,5.00,267,260,"£921,497.73","£15,834.08","£9,720.30","£3,279.67","£226,074.31","£104,331.46","£1,280,737.55","£38,614.00",£0.00,"£38,614.00","£1,319,351.55",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,7,7.00,21,17.23,6,5.30,0,0,36,31.53,0,0,0,0,0,0,0,0,0,0.00,36,32,"£142,822.00",£0.00,£0.00,£0.00,"£39,242.00","£24,467.00","£206,531.00",,,£0.00,"£206,531.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",448,390.55,281,264.66,267,257.22,60,59.03,6,6.00,0,0,1062,977.46,8,8.00,0,0,38,38.00,0,0.00,46,46.00,"1,108","1,023","£2,351,580.17","£29,322.66",£0.00,"£10,330.08","£636,095.55","£224,692.55","£3,252,021.01","£22,766.63","£483,340.14","£506,106.77","£3,758,127.78",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,0,0.00,1,1,18,17.72,0,0.00,0,0,0,0.00,2,2.00,2,2.00,20,20,"£72,950.71",£216.66,£0.00,£0.00,"£20,381.87","£8,278.75","£101,827.99",£0.00,"£1,675.00","£1,675.00","£103,502.99",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1640,1557.08,2155,1864.93,1875,1673.34,243,225.02,21,20.92,0,0,5934,5341.29,0,0.00,24,24,0,0.00,0,0.00,24,24.00,"5,958","5,365","£12,587,449.03","£287,371.71","£1,300.00","£325,584.37","£3,393,194.18","£9,722,580.20","£26,317,479.49","£15,681.07","£81,648.80","£97,329.87","£26,414,809.36",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",562,528.66,195,184.20,773,740.65,133,130.10,10,10.00,0,0,1673,1593.61,50,50.00,0,0,10,10.00,0,0.00,60,60.00,"1,733","1,654","£4,325,818.74","£18,579.30","£29,250.00","£13,478.73","£1,181,485.24","£450,109.08","£6,018,721.09","£693,446.42",£0.00,"£693,446.42","£6,712,167.51",,,
