Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,169,163.76,314,305.85,471,462.57,760,748.77,243,238.7,184,180.71,"2,141","2,100",18,17.75,237,237,10,10,12,4.5,277,269.25,"2,418","2,370","£7,469,886.58","£388,341.85","£13,895.00","£104,992.06","£1,646,153.80","£751,860.59","£10,375,129.88","£1,659,092.00",£0.00,"£1,659,092.00","£12,034,221.88",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,4,4,1,1,1,1,17,16,0,0,0,0,0,0,0,0,0,0,17,16,"£45,687.04",£545.00,£0.00,£0.00,"£9,238.60","£3,885.73","£59,356.37",£0.00,£0.00,£0.00,"£59,356.37",
Crown Commercial Services,Executive Agency,Cabinet Office,34,33.5,96,92.7,244,238.8,168,167,27,26.7,0,0,569,559,12,12,25,25,0,0,0,0,37,37,606,596,"£1,578,014.76","£5,071.83",£0.00,£0.00,"£311,750.33","£138,065.97","£2,032,902.89","£43,272.65",£0.00,"£43,272.65","£2,076,175.54",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,98,92,488,454,243,230,81,77,19,19,0,0,929,872,46,46,0,0,7,4.5,0,0,53,50.5,982,923,"£2,059,455.20","£43,791.03",£0.00,"£38,183.73","£378,011.83","£164,538.92","£2,683,980.71","£165,735.85",£0.00,"£165,735.85","£2,849,716.56",
